Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-06-15,21.429,21.429,21.039,21.039,44779
2015-06-16,21.02,21.039,20.65,20.883,41697
2015-06-17,20.845,21.332,20.455,21.127,26853
2015-06-18,21.039,21.127,20.942,21.088,28510
2015-06-19,21.127,21.127,20.747,20.845,8537
2015-06-22,21,21,20.864,20.874,2743
2015-06-23,20.874,20.991,20.601,20.942,26336
2015-06-24,20.942,20.942,19.559,20.815,16316
2015-06-25,20.806,20.932,20.455,20.932,3285
2015-06-26,20.455,20.883,19.978,20.825,22873
2015-06-29,20.017,20.455,20.017,20.455,218
2015-06-30,20.357,20.357,19.968,20.357,8541
2015-07-01,20.455,20.796,20.455,20.796,2053
2015-07-02,20.776,20.796,20.776,20.796,25769
2015-07-03,20.806,20.981,20.796,20.796,10412
2015-07-06,20.922,20.991,20.922,20.991,11373
2015-07-07,20.991,21.624,20.991,20.991,16753
2015-07-08,21.429,21.429,20.991,21.429,4650
2015-07-09,21.429,21.478,21.419,21.419,410
2015-07-10,21.429,21.429,21.039,21.419,1019
2015-07-13,21.478,21.478,21.234,21.419,613
2015-07-14,21.283,21.419,20.942,21.419,2772
2015-07-15,21.419,21.419,20.679,21.419,12224
2015-07-16,21.419,21.478,21.039,21.429,10388
2015-07-17,21.478,21.478,21.409,21.419,2902
2015-07-20,21.419,21.429,21.332,21.332,10308
2015-07-21,21.332,21.419,21.322,21.419,6043
2015-07-22,21.429,21.429,21.234,21.234,318
2015-07-23,21.4,21.429,21.4,21.429,2989
2015-07-24,20.942,21.702,20.942,21.702,180
2015-07-27,21.536,21.536,21.429,21.429,295
2015-07-28,21.429,21.429,21.429,21.429,10
2015-07-29,21.409,21.409,21.409,21.409,10
2015-07-30,21.039,21.409,21.039,21.409,72
2015-07-31,21.4,21.4,21.4,21.4,10
2015-08-03,21.088,21.088,19.676,20.854,1911
2015-08-04,20.747,20.747,20.552,20.747,1869
2015-08-05,20.845,21.293,20.845,21.293,1695
2015-08-06,21.293,21.293,21.293,21.293,234
2015-08-07,21.137,21.283,21.137,21.215,165
2015-08-10,21.293,21.293,21.215,21.215,20
2015-08-11,21.137,21.293,21.137,21.234,540
2015-08-12,21.234,21.234,20.65,21.224,416
2015-08-13,21.224,21.224,20.942,20.942,108
2015-08-14,20.942,21.234,20.942,21.234,5461
2015-08-17,21.293,21.293,21.293,21.293,5
2015-08-18,21.263,21.263,19.734,21.195,3683
2015-08-19,20.202,21.185,20.202,21.166,554
2015-08-20,21.156,21.156,20.991,20.991,538
2015-08-21,21.156,21.156,21.156,21.156,103
2015-08-24,21.156,21.156,19.968,21.098,6102
2015-08-25,20.835,21.039,20.835,21.03,3080
2015-08-27,20.747,20.932,20.455,20.932,762
2015-08-28,20.747,20.932,19.89,20.932,4294
2015-08-31,19.87,21.03,19.87,21.03,3701
2015-09-01,21.049,21.049,19.968,21.03,7470
2015-09-02,21.02,21.127,20.455,21.127,11065
2015-09-03,21.127,21.38,20.552,21.38,196666
2015-09-07,21.361,21.361,21.361,21.361,62
2015-09-08,20.942,21.205,20.942,21.205,141
2015-09-09,21.224,21.224,21.215,21.215,1237
2015-09-10,20.845,21.332,20.845,21.332,2204
2015-09-11,21.302,21.302,21.283,21.283,934
2015-09-14,21.273,21.273,21.234,21.254,296
2015-09-15,21.224,21.224,20.017,20.163,1426
2015-09-16,20.659,20.659,20.26,20.26,853
2015-09-17,20.455,20.455,20.455,20.455,103
2015-09-18,20.65,20.65,20.455,20.455,9
2015-09-21,20.455,20.65,20.455,20.65,17718
2015-09-22,20.65,20.971,20.65,20.932,41850
2015-09-23,20.922,20.922,20.922,20.922,51
2015-09-24,20.874,20.874,20.874,20.874,10
2015-09-28,20.065,20.737,20.065,20.65,2367
2015-09-29,20.65,20.65,20.65,20.65,407
2015-09-30,19.87,21.195,19.87,21.195,7806
2015-10-01,21.195,21.195,21.195,21.195,725
2015-10-02,20.942,20.942,20.942,20.942,113
2015-10-05,20.942,20.942,20.455,20.942,2923
2015-10-06,21.137,21.137,21.127,21.127,802
2015-10-07,21.127,21.127,20.455,21.127,35376
2015-10-08,21.127,21.127,20.513,20.747,14837
2015-10-09,21.127,21.127,20.942,20.942,570
