Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-11-30,13.081,13.081,11.795,12.129,31952
2010-12-01,12.172,12.172,10.917,11.411,13082
2010-12-02,11.069,11.601,11.008,11.152,63152
2010-12-03,11.411,11.411,10.993,11.327,10411
2010-12-06,11.054,11.069,11.008,11.031,4743
2010-12-07,11.008,11.031,10.955,11.031,973
2010-12-08,10.955,11.145,10.666,11.031,5066
2010-12-09,10.795,10.978,10.726,10.978,2757
2010-12-10,10.726,10.764,10.711,10.764,3331
2010-12-13,10.833,11.221,10.833,11.221,5077
2010-12-14,11.335,11.388,11.335,11.366,6272
2010-12-15,10.909,11.366,10.909,11.366,9191
2010-12-16,11.312,11.366,11.312,11.366,11576
2010-12-17,11.366,12.499,11.366,12.491,10435
2010-12-20,12.864,12.864,11.655,11.655,1293
2010-12-21,12.621,12.621,11.366,11.655,14815
2010-12-22,11.677,11.677,11.107,11.632,1295
2010-12-23,11.099,11.396,10.856,11.267,5085
2010-12-27,11.19,11.487,11.19,11.267,1318
2010-12-28,11.259,11.259,11.259,11.259,10753
2010-12-29,11.258,11.591,11.258,11.412,477
2010-12-30,11.6,11.632,11.412,11.632,345
2010-12-31,11.64,11.64,11.559,11.64,9848
2011-01-03,12.309,12.309,11.411,11.419,2483
2011-01-04,11.563,11.563,11.267,11.267,8070
2011-01-05,11.556,11.556,11.145,11.358,3048
2011-01-07,11.366,11.366,11.069,11.358,6606
2011-01-10,11.366,11.366,10.978,11.259,3078
2011-01-11,11.366,11.403,11.031,11.366,7686
2011-01-12,11.335,11.335,11.327,11.327,96
2011-01-13,11.358,11.358,11.358,11.358,1
2011-01-14,11.259,11.373,11.084,11.335,2795
2011-01-17,11.388,11.639,11.335,11.472,4732
2011-01-18,11.624,11.624,11.624,11.624,44
2011-01-19,11.624,11.624,11.343,11.343,139
2011-01-20,11.624,11.639,11.373,11.624,4318
2011-01-21,11.624,12.081,11.031,12.081,4532
2011-01-24,12.065,12.065,11.563,11.997,169
2011-01-25,11.982,11.982,11.152,11.274,10808
2011-01-26,11.114,11.731,10.81,10.81,1877
2011-01-27,11.335,11.335,10.917,10.917,1330
2011-01-28,11.639,11.639,10.848,11.632,2721
2011-01-31,11.51,11.51,11.412,11.412,6624
2011-02-01,11.411,11.411,11.411,11.411,2
2011-02-02,11.403,11.411,11.251,11.396,7755
2011-02-03,11.411,11.487,11.183,11.487,3620
2011-02-04,11.449,11.449,11.183,11.183,25
2011-02-07,11.411,11.411,11.411,11.411,4783
2011-02-08,11.396,11.563,11.183,11.411,10481
2011-02-09,11.411,11.411,11.411,11.411,4049
2011-02-10,11.403,11.441,11.031,11.403,8879
2011-02-11,11.403,11.403,11.396,11.396,342
2011-02-14,11.403,11.715,11.373,11.373,4157
2011-02-15,11.487,11.715,11.487,11.639,4420
2011-02-16,11.639,11.868,11.639,11.715,5970
2011-02-17,11.852,11.997,11.715,11.715,4781
2011-02-18,11.974,11.997,11.715,11.715,4642
2011-02-21,11.791,12.126,11.761,12.02,3754
2011-02-22,12.126,12.164,12.119,12.164,5328
2011-02-23,12.02,12.316,12.02,12.172,6741
2011-02-24,12.172,12.529,12.164,12.484,4523
2011-02-25,12.529,12.613,12.529,12.613,1838
2011-02-28,12.186,12.91,12.186,12.853,4418
2011-03-01,12.78,12.91,12.514,12.514,4840
2011-03-02,12.476,12.91,12.476,12.857,5173
2011-03-03,12.887,12.91,12.849,12.887,4878
2011-03-04,12.879,12.91,12.872,12.91,5132
2011-03-07,13.085,13.085,12.628,12.818,1593
2011-03-08,12.78,13.085,12.78,13.085,3951
2011-03-09,13.085,13.085,12.818,13.077,3355
2011-03-10,13.077,13.077,13.07,13.07,3415
2011-03-11,13.077,13.077,13.07,13.07,2761
2011-03-14,13.237,13.389,13.016,13.328,14993
2011-03-15,13.328,13.351,13.016,13.237,5379
2011-03-16,13.237,13.237,13.047,13.199,614
2011-03-17,13.195,13.382,13.195,13.309,4259
2011-03-18,13.381,13.693,13.047,13.465,6951
2011-03-21,13.328,13.465,13.328,13.442,4101
2011-03-22,13.442,13.442,13.442,13.442,484
2011-03-23,13.412,13.465,13.389,13.465,2632
2011-03-24,13.503,13.503,12.826,13.389,3249
2011-03-25,12.332,12.933,12.324,12.925,6761
2011-03-28,12.917,12.917,12.278,12.841,278
2011-03-29,12.735,12.735,12.248,12.697,1128
2011-03-30,12.666,12.666,12.256,12.4,150
2011-03-31,12.772,12.772,11.917,12.544,1956
2011-04-01,12.545,12.545,12.324,12.545,244
2011-04-04,12.545,12.552,12.545,12.552,90
2011-04-05,12.248,12.628,12.248,12.628,147
2011-04-06,12.628,12.933,12.514,12.902,4103
2011-04-07,12.902,12.933,12.895,12.933,1652
2011-04-08,12.895,12.895,12.431,12.811,561
2011-04-11,12.895,12.895,12.552,12.811,6619
2011-04-12,12.853,12.853,12.544,12.853,2489
2011-04-13,12.933,12.933,12.925,12.933,4945
2011-04-14,12.933,12.933,12.933,12.933,1
2011-04-15,12.933,12.933,12.933,12.933,1
2011-04-18,12.933,12.933,12.933,12.933,1
2011-04-19,12.925,12.933,12.552,12.887,1497
2011-04-20,12.895,12.895,12.826,12.826,6213
2011-04-21,12.826,12.826,12.826,12.826,131
