Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-06-17,1.5871,1.5871,1.5163,1.5163,730391
2010-06-18,1.5292,1.5356,1.5163,1.5292,120313
2010-06-21,1.5228,1.5228,1.4907,1.5228,159875
2010-06-22,1.5228,1.5228,1.5036,1.5228,64779
2010-06-23,1.5163,1.5163,1.5036,1.5036,84560
2010-06-24,1.465,1.5099,1.465,1.5036,326060
2010-06-25,1.4778,1.5421,1.4778,1.5356,544359
2010-06-28,1.5228,1.5806,1.5163,1.5742,207943
2010-06-29,1.5678,1.5742,1.5356,1.5742,249333
2010-06-30,1.5742,1.5742,1.5292,1.5356,32678
2010-07-01,1.5549,1.5678,1.5163,1.5421,65424
2010-07-02,1.5613,1.5806,1.5421,1.5806,139963
2010-07-05,1.5742,1.5742,1.5678,1.5742,3328
2010-07-06,1.5678,1.5806,1.5356,1.5678,61903
2010-07-07,1.5678,1.5678,1.5421,1.5613,13698
2010-07-08,1.5678,1.6384,1.5678,1.6064,283869
2010-07-09,1.6384,1.6963,1.6064,1.6384,61091
2010-07-12,1.6513,1.6513,1.5613,1.5935,66641
2010-07-13,1.6064,1.6064,1.5549,1.5742,163470
2010-07-14,1.5742,1.6064,1.5742,1.6064,76748
2010-07-15,1.6064,1.6064,1.5871,1.6064,3743
2010-07-16,1.6064,1.6064,1.5678,1.6,91918
2010-07-19,1.6,1.6,1.5742,1.5806,21272
2010-07-20,1.5742,1.6064,1.5613,1.5806,20692
2010-07-21,1.5935,1.6,1.5678,1.5935,34033
2010-07-22,1.5742,1.5806,1.5678,1.5806,46225
2010-07-23,1.5935,1.5935,1.5678,1.5806,52332
2010-07-26,1.5871,1.5871,1.5613,1.5742,29522
2010-07-27,1.5742,1.5806,1.5678,1.5806,70269
2010-07-28,1.5613,1.5678,1.5421,1.5613,27389
2010-07-29,1.5613,1.5678,1.5421,1.5678,2256
2010-07-30,1.5742,1.5742,1.5228,1.5613,12224
2010-08-02,1.5678,1.5806,1.5421,1.5806,57355
2010-08-03,1.5806,1.5935,1.5806,1.5935,51422
2010-08-04,1.5871,1.5935,1.5806,1.5935,32953
2010-08-05,1.5613,1.5871,1.5613,1.5871,1791
2010-08-06,1.5871,1.5871,1.5742,1.5806,11130
2010-08-09,1.5871,1.5871,1.5613,1.5742,13158
2010-08-10,1.5742,1.5742,1.5549,1.5678,2416
2010-08-11,1.5742,1.5742,1.5421,1.5485,6568
2010-08-12,1.5421,1.5485,1.5099,1.5485,21322
2010-08-13,1.5421,1.5421,1.5099,1.5421,25504
2010-08-16,1.5421,1.5421,1.5099,1.5163,42334
2010-08-17,1.5421,1.5421,1.5163,1.5292,10310
2010-08-18,1.5356,1.5485,1.5228,1.5292,11796
2010-08-19,1.5356,1.5356,1.5099,1.5228,22883
2010-08-20,1.5228,1.5228,1.4843,1.5228,45321
2010-08-23,1.4971,1.5228,1.4971,1.5163,11301
2010-08-24,1.5228,1.5228,1.4971,1.5163,6379
2010-08-25,1.5163,1.5163,1.4971,1.5099,15456
2010-08-26,1.5099,1.5099,1.4907,1.4971,18038
2010-08-27,1.4907,1.5163,1.4715,1.4715,29212
2010-08-30,1.4778,1.5421,1.4778,1.5421,65331
2010-08-31,1.5549,1.5549,1.4778,1.4778,502870
2010-09-01,1.4971,1.5036,1.4778,1.5036,31564
2010-09-02,1.5163,1.6192,1.4971,1.6192,420052
2010-09-03,1.6384,1.6384,1.5742,1.6192,203751
2010-09-06,1.6064,1.6256,1.5935,1.6,69293
2010-09-07,1.6192,1.754,1.6128,1.722,795529
2010-09-08,1.7283,1.7412,1.6834,1.7156,837427
2010-09-09,1.722,1.8377,1.6963,1.8313,428421
2010-09-10,1.8313,1.8956,1.767,1.8313,532818
2010-09-13,1.8633,1.8633,1.7926,1.8248,302185
2010-09-14,1.812,1.812,1.7861,1.812,1237415
2010-09-15,1.812,1.812,1.7799,1.7991,343707
2010-09-16,1.7926,1.8183,1.7926,1.8183,107470
2010-09-17,1.8313,1.8313,1.7926,1.812,323136
2010-09-20,1.8248,1.8248,1.7926,1.8183,505498
2010-09-21,1.8248,1.8568,1.8056,1.812,114740
2010-09-22,1.7991,1.8248,1.7799,1.8183,236931
2010-09-23,1.8313,1.8313,1.7861,1.7991,81916
2010-09-24,1.7991,1.7991,1.6706,1.7926,289722
2010-09-27,1.7926,1.7926,1.7734,1.7926,29563
2010-09-28,1.7926,1.7926,1.7156,1.7799,67973
2010-09-29,1.7799,1.7861,1.7477,1.7861,105298
2010-09-30,1.7799,1.7799,1.7283,1.7799,139387
2010-10-01,1.7799,1.812,1.7348,1.7991,260236
2010-10-04,1.8313,1.8313,1.7991,1.812,66124
2010-10-05,1.8248,1.8441,1.812,1.8377,99968
2010-10-06,1.8377,1.8441,1.8056,1.8248,49735
2010-10-07,1.8441,1.8441,1.812,1.8183,18207
2010-10-08,1.8248,1.8313,1.8056,1.8313,42957
2010-10-11,1.8377,1.8441,1.8313,1.8377,40816
2010-10-12,1.8441,1.8441,1.8248,1.8313,8789
2010-10-13,1.8313,1.8441,1.8056,1.8056,53708
2010-10-14,1.8313,1.8313,1.8056,1.8248,11841
2010-10-15,1.8248,1.8248,1.8056,1.8183,20171
2010-10-18,1.7991,1.8183,1.7991,1.8056,31751
2010-10-19,1.812,1.812,1.7926,1.7991,72100
2010-10-20,1.767,1.7926,1.7477,1.7926,31812
2010-10-21,1.767,1.7991,1.767,1.7926,67941
2010-10-22,1.8056,1.8056,1.7861,1.8056,23531
2010-10-25,1.767,1.8248,1.767,1.8248,43940
2010-10-26,1.8248,1.8248,1.812,1.8183,18968
2010-10-27,1.8248,2.0047,1.8183,2.0047,699867
2010-10-28,2.0239,2.0497,1.9469,1.9469,342918
2010-10-29,1.9405,2.0433,1.9277,2.0175,287664
2010-11-02,2.0239,2.1075,2.0239,2.1075,346613
2010-11-03,2.1654,2.1654,2.1268,2.1396,194099
2010-11-04,2.1332,2.1332,2.0433,2.0882,150324
2010-11-05,2.0882,2.0882,1.9533,2.0239,186527
2010-11-08,2.1204,2.1204,2.0368,2.0433,191346
2010-11-09,2.101,2.101,2.0433,2.0626,60968
2010-11-10,2.0626,2.0946,2.0433,2.0753,55495
2010-11-12,2.0753,2.0753,1.9983,2.0689,54956
2010-11-15,2.0689,2.0689,2.0305,2.0368,31677
2010-11-16,2.0817,2.0882,2.0433,2.0817,144313
2010-11-17,2.0817,2.1461,2.0817,2.1204,181871
2010-11-18,2.1461,2.1461,2.1268,2.1461,92740
2010-11-19,2.1461,2.1461,2.1204,2.1332,60462
2010-11-22,2.1461,2.1461,1.9469,1.9918,144292
2010-11-23,2.0561,2.1075,2.0239,2.0433,86988
2010-11-24,2.0561,2.101,2.0561,2.101,69128
2010-11-25,2.101,2.1075,2.0689,2.101,29125
2010-11-26,2.0882,2.0882,2.0561,2.0882,21313
2010-11-29,2.0689,2.0882,2.0561,2.0753,31302
2010-11-30,2.0561,2.101,2.0497,2.0882,85999
2010-12-01,2.1396,2.2811,2.1396,2.2489,358003
2010-12-02,2.2617,2.4866,2.2617,2.4415,383419
2010-12-03,2.4994,2.5059,2.3838,2.4352,227420
2010-12-06,2.4802,2.4866,2.4352,2.461,81149
2010-12-07,2.461,2.4802,2.4159,2.4738,116781
2010-12-08,2.4673,2.4738,2.448,2.4673,58228
2010-12-09,2.461,2.4738,2.4415,2.4673,42777
2010-12-10,2.448,2.461,2.4415,2.4545,85842
2010-12-13,2.4545,2.4545,2.4352,2.4545,47142
2010-12-14,2.448,2.4545,2.4415,2.4545,36678
2010-12-15,2.448,2.6022,2.4224,2.5895,247245
2010-12-16,2.6343,2.6987,2.6343,2.6793,328012
2010-12-17,2.7308,2.7565,2.4866,2.5123,443465
2010-12-20,2.4994,2.5508,2.2682,2.5059,503624
2010-12-21,2.5443,2.6343,2.5123,2.5187,134350
2010-12-22,2.5443,2.5443,2.3838,2.5059,211110
2010-12-23,2.538,2.538,2.4415,2.4545,48725
2010-12-27,2.448,2.5059,2.3903,2.5059,176132
2010-12-28,2.5187,2.5443,2.4738,2.538,71174
2010-12-29,2.5443,2.5765,2.5443,2.5701,52300
2010-12-30,2.6087,2.6216,2.583,2.6087,21988
2010-12-31,2.6216,2.6216,2.5637,2.5701,76301
2011-01-03,2.6216,2.6216,2.538,2.5701,50604
2011-01-04,2.6022,2.6022,2.538,2.5701,89170
2011-01-05,2.5701,2.583,2.538,2.5701,92088
2011-01-07,2.538,2.5895,2.538,2.5443,111293
2011-01-10,2.5701,2.5765,2.538,2.5765,122524
2011-01-11,2.5637,2.5765,2.538,2.5701,57031
2011-01-12,2.5765,2.6022,2.5765,2.6022,112017
2011-01-13,2.6537,2.6922,2.6022,2.6279,189392
2011-01-14,2.6151,2.6537,2.5701,2.5959,167056
2011-01-17,2.5895,2.5895,2.4931,2.5573,96684
2011-01-18,2.5701,2.8208,2.5701,2.795,367736
2011-01-19,2.8272,2.8336,2.6987,2.7243,219972
2011-01-20,2.7116,2.7116,2.5701,2.6343,193765
2011-01-21,2.6343,2.6793,2.5252,2.5443,516065
2011-01-24,2.5959,2.5959,2.5187,2.5252,127089
2011-01-25,2.5315,2.5701,2.4415,2.5573,119877
2011-01-26,2.5959,2.66,2.5959,2.5959,434789
2011-01-27,2.6343,2.6343,2.5959,2.6022,462459
2011-01-28,2.6216,2.6216,2.5701,2.583,860201
2011-01-31,2.5637,2.5701,2.448,2.5637,142974
2011-02-01,2.5443,2.5701,2.5187,2.5443,108654
2011-02-02,2.5637,2.5637,2.5252,2.5508,113751
2011-02-03,2.5508,2.5508,2.5252,2.538,47731
2011-02-04,2.538,2.5443,2.4545,2.4931,120354
2011-02-07,2.4931,2.5059,2.461,2.4866,55990
2011-02-08,2.4738,2.4931,2.4545,2.4931,39780
2011-02-09,2.4802,2.5315,2.4545,2.5187,61827
2011-02-10,2.5252,2.5252,2.4545,2.4545,60668
2011-02-11,2.4545,2.5252,2.448,2.5252,54657
2011-02-14,2.5252,2.5701,2.5252,2.538,50296
2011-02-15,2.5508,2.5508,2.5059,2.5252,16026
2011-02-16,2.5123,2.5187,2.4866,2.5059,29839
2011-02-17,2.4738,2.5059,2.4738,2.4802,49531
2011-02-18,2.4738,2.5059,2.461,2.4738,49689
2011-02-21,2.4738,2.5508,2.461,2.5508,59291
2011-02-22,2.5508,2.6343,2.5252,2.5508,149937
2011-02-23,2.583,2.6665,2.5508,2.6216,280770
2011-02-24,2.6537,2.6537,2.5637,2.5637,64582
2011-02-25,2.5508,2.6022,2.5443,2.5959,34664
2011-02-28,2.5701,2.6022,2.5443,2.5701,29141
2011-03-01,2.5701,2.5895,2.5508,2.583,27297
2011-03-02,2.5701,2.5701,2.4802,2.5059,110408
2011-03-03,2.5315,2.5315,2.4802,2.5059,88359
2011-03-04,2.5123,2.5187,2.4866,2.5123,87195
2011-03-07,2.5059,2.5059,2.4673,2.4994,47412
2011-03-08,2.5059,2.5059,2.4673,2.4866,33740
2011-03-09,2.4738,2.4738,2.2552,2.371,305202
2011-03-10,2.4095,2.4159,2.2811,2.3067,165918
2011-03-11,2.3131,2.3388,2.1974,2.2552,119208
2011-03-14,2.2552,2.2552,2.1718,2.1782,120292
2011-03-15,2.1782,2.2038,2.0753,2.1974,223766
2011-03-16,2.2103,2.3324,2.2103,2.2811,176263
2011-03-17,2.3388,2.3388,2.3067,2.3388,71509
2011-03-18,2.3452,2.3582,2.3194,2.3388,56810
2011-03-21,2.3388,2.3388,2.2874,2.2874,41489
2011-03-22,2.3131,2.3131,2.2425,2.2746,28897
2011-03-23,2.3003,2.3003,2.2552,2.3003,21972
2011-03-24,2.2938,2.3003,2.2617,2.2938,28901
2011-03-25,2.2811,2.2938,2.2361,2.2746,27671
2011-03-28,2.2552,2.2552,2.1718,2.1846,297149
2011-03-29,2.2489,2.2682,2.1589,2.2167,326071
2011-03-30,2.2489,2.2874,2.1782,2.1846,224626
2011-03-31,2.2167,2.2167,2.1396,2.1396,186428
2011-04-01,2.1782,2.1974,2.1525,2.191,43531
2011-04-04,2.191,2.2361,2.1654,2.191,98243
2011-04-05,2.2361,2.2361,2.1846,2.2167,60657
2011-04-06,2.2296,2.2296,2.1846,2.2167,100780
2011-04-07,2.2232,2.2232,2.1718,2.1846,120756
2011-04-08,2.1846,2.2038,2.1139,2.1396,162298
2011-04-11,2.1204,2.1396,2.0882,2.1075,126858
2011-04-12,2.1204,2.1204,2.0882,2.1075,81148
2011-04-13,2.1075,2.1461,2.0882,2.1396,39542
2011-04-14,2.1396,2.1396,2.0753,2.1075,74458
2011-04-15,2.1139,2.1139,2.0111,2.0753,109398
2011-04-18,2.1268,2.2489,2.1268,2.1782,479079
2011-04-19,2.2361,2.2938,2.1846,2.2489,454693
2011-04-20,2.2617,2.3324,2.2617,2.3324,340647
2011-04-21,2.3516,2.4095,2.3516,2.3773,398621
2011-04-26,2.3903,2.3903,2.1846,2.3452,178763
2011-04-27,2.3452,2.3773,2.2811,2.3773,156687
2011-04-28,2.3838,2.4159,2.3582,2.4095,233892
2011-04-29,2.4224,2.4352,2.4159,2.4352,277259
2011-05-02,2.4352,2.4352,2.3452,2.3967,60075
2011-05-04,2.3838,2.3838,2.3388,2.3773,56388
2011-05-05,2.3773,2.3773,2.3452,2.3773,61615
2011-05-06,2.371,2.3773,2.3131,2.3773,103395
2011-05-09,2.3773,2.3838,2.3516,2.3773,54328
2011-05-10,2.3646,2.3838,2.3516,2.3838,60315
2011-05-11,2.3773,2.3773,2.3452,2.3582,93955
2011-05-12,2.3452,2.3452,2.2425,2.3194,78874
2011-05-13,2.2938,2.3194,2.2938,2.3131,67530
2011-05-16,2.3324,2.3646,2.3194,2.3324,56698
2011-05-17,2.3452,2.3452,2.2361,2.2746,38682
2011-05-18,2.2746,2.3003,2.2361,2.2746,17040
2011-05-19,2.3003,2.3582,2.2874,2.3388,49778
2011-05-20,2.3452,2.3516,2.2361,2.3131,45365
2011-05-23,2.3452,2.3452,2.2361,2.2811,7553
2011-05-24,2.3067,2.3067,2.2167,2.2232,73009
2011-05-25,2.2232,2.2232,2.1589,2.2232,51260
2011-05-26,2.2361,2.2489,2.1974,2.2489,14327
2011-05-27,2.2167,2.2489,2.2167,2.2296,16312
2011-05-30,2.2489,2.2489,2.2361,2.2425,16710
2011-05-31,2.2425,2.2617,2.2167,2.2552,17886
2011-06-01,2.2682,2.2811,2.2232,2.2489,24304
2011-06-02,2.2232,2.2552,2.1974,2.2489,15977
2011-06-03,2.2617,2.2617,2.2167,2.2489,14420
2011-06-06,2.2489,2.2489,2.1974,2.2103,21380
2011-06-07,2.1974,2.2038,2.191,2.1974,15894
2011-06-08,2.191,2.1974,2.0689,2.1332,89769
2011-06-09,2.0689,2.1139,2.0626,2.0946,75186
2011-06-10,2.0946,2.101,2.0111,2.0497,96930
2011-06-13,2.0175,2.101,1.9789,2.0239,75621
2011-06-14,2.0047,2.0239,1.9918,2.0047,76339
