Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-07-24,369,369,338,345,71204
2007-07-25,329,337.4,320.1,337.4,5417
2007-07-26,331,344.5,325,340,5640
2007-07-27,324,335,324,328,334
2007-07-30,322.5,329,320,321,1144
2007-07-31,311,320,310,320,1291
2007-08-01,302,319,301.5,309,167
2007-08-02,303.1,310,299,300,2175
2007-08-03,299.6,307.5,294,304,762
2007-08-06,310,310,300,300,504
2007-08-07,305.5,310,305,310,700
2007-08-08,311,314,300,310,316
2007-08-09,319.4,319.4,308,309.5,87
2007-08-10,300,304.4,290,303,2164
2007-08-13,300,313,290,313,2397
2007-08-14,297.5,304.4,297,304.4,482
2007-08-16,290,298,255,260,1296
2007-08-17,255,265,247.4,265,321
2007-08-20,269,269,257.4,262.6,47
2007-08-21,262.6,262.6,250,256.5,1328
2007-08-22,260.5,292,260.5,292,3512
2007-08-23,294,294,281.3,290,190
2007-08-24,293.9,293.9,280,289.9,60
2007-08-27,295,299.5,290,296.5,272
2007-08-28,303,303,290,290,86
2007-08-29,285,295,275,290,118
2007-08-30,298.5,299,276,288,169
2007-08-31,299.9,299.9,286,297,41
2007-09-03,299.9,300,290,300,787
2007-09-04,304.5,304.5,300,300,103
2007-09-05,300,300,281.1,297,613
2007-09-06,301,301,291,300,297
2007-09-07,304.7,304.7,290,300,92
2007-09-10,294,303,294,300,576
2007-09-11,291.1,308.5,291.1,300,69
2007-09-12,291,309.5,291,309.5,2347
2007-09-13,314.9,314.9,302,313,90
2007-09-14,313,313,305,305,118
2007-09-17,304.8,304.8,295,303,191
2007-09-18,303,303,300,300.5,106
2007-09-19,301.1,303,300.2,301,115
2007-09-20,295.1,300.7,295.1,300.7,203
2007-09-21,295.6,300.7,295.6,300,311
2007-09-24,300,300,294.5,297.4,15
2007-09-25,295.5,304.5,294.5,304.5,805
2007-09-26,304.4,312,304.4,310,5589
2007-09-27,312.3,315,307.1,310.2,184
2007-09-28,310,310,300.5,309,131
2007-10-01,301.1,301.1,297,300,40
2007-10-02,300.2,304.9,297,304.9,221
2007-10-03,296.1,301.7,296.1,301.7,2353
2007-10-04,300,301,300,301,16
2007-10-05,310,310,300,308.5,483
2007-10-08,300,308.4,300,308.4,49
2007-10-09,300.1,308.5,300.1,308.5,91
2007-10-10,308.5,308.5,308.5,308.5,3
2007-10-11,300.1,308.5,300.1,308.5,108
2007-10-12,301,309.9,301,309.9,152
2007-10-15,301.5,330,301.5,330,954
2007-10-16,330,344.5,323,344.5,481
2007-10-17,350,360,332.5,347,1621
2007-10-18,347,347,332.5,343.9,102
2007-10-19,334,334,312.1,330,483
2007-10-22,325,325,300,308.1,464
2007-10-23,314.5,314.5,306,310,87
2007-10-24,311.9,311.9,301.2,311.5,64
2007-10-25,301.9,310,301.9,310,147
2007-10-26,310,310,300.1,305,119
2007-10-29,307,314.9,300.5,314.9,95
2007-10-30,309.9,319.4,309.9,319.4,30
2007-10-31,319.9,320,311.8,320,126
2007-11-05,305,324,305,310,23
2007-11-06,310,314.9,305,314,152
2007-11-07,302.8,310,297,300,142
2007-11-08,300,309.8,286,309.8,340
2007-11-09,300.1,300.1,300.1,300.1,5
2007-11-12,295,310,295,310,8
2007-11-13,296.1,315.1,296.1,315.1,31
2007-11-14,329.9,329.9,310,323,40
2007-11-15,320.1,320.1,296,309,126
2007-11-16,305,308.5,305,308.5,41
2007-11-19,313,313,305,305,732
2007-11-20,295.5,300,295,297,63
2007-11-21,305,313,305,308.5,996
2007-11-22,290,308.5,285,285,377
2007-11-23,303,303,236.6,237.6,6754
2007-11-26,244,248,240,243.9,622
2007-11-27,244.9,247,240,245,1601
2007-11-28,240,240,239,240,97
2007-11-29,249,249,240.3,245,135
2007-11-30,247,247,245,245,4
2007-12-03,236.6,244,236.6,243.5,18
2007-12-04,236.6,242,233.2,241.9,146
2007-12-05,238,238,236,238,124
2007-12-06,244.5,244.5,244,244.3,22
2007-12-07,243,252,237.1,248.9,42
2007-12-10,251.5,251.5,238.1,245,41
2007-12-11,245,245,238.1,243,58
2007-12-12,243,243,235,243,102
2007-12-13,244.9,244.9,235.5,236,38
2007-12-14,236,242,235,242,102
2007-12-17,243.5,243.5,243.5,243.5
2007-12-18,235,243.2,235,242,383
2007-12-19,237,240,237,240,21
2007-12-20,235,239,235,238.5,616
2007-12-21,239,242.5,235,241.4,495
2007-12-27,236.5,243.9,236.5,243.6,7
2007-12-28,243.8,243.8,243.7,243.7,55
2008-01-03,230.5,238,230.2,238,22
2008-01-04,236,236,236,236,4
2008-01-07,235,235,235,235,7
2008-01-08,233,234,230.2,234,3
2008-01-09,233.1,233.1,233.1,233.1,3
2008-01-10,230.1,230.1,230,230,37
2008-01-11,220,224.9,199.9,200,245
2008-01-14,195,195,182,194,47
2008-01-15,185,189.5,169.1,169.1,75
2008-01-16,170,170,151,164,73
2008-01-17,163.5,163.9,160,160,60
2008-01-18,159.9,159.9,150.3,154.9,73
2008-01-21,155,155,148.3,150,42
2008-01-22,145,149.3,130.6,148.9,85
2008-01-23,160,160,149,150,34
2008-01-24,159.3,159.4,156,159.4,173
2008-01-25,159.4,162.1,159.4,162.1,15
2008-01-28,162,172.3,147,172.3,104
2008-01-29,174.3,174.4,173.9,174.4,91
2008-01-30,176,179.2,176,179.2,18
2008-01-31,178.9,178.9,175,175,57
2008-02-01,178.9,179.4,167.8,179.4,8
2008-02-04,179.4,185,179.4,185,46
2008-02-05,182,182,182,182,10
2008-02-06,185.8,185.8,185.8,185.8,1
2008-02-08,170.1,183.9,170.1,183.9,1
2008-02-11,180,180,170,177.9,364
2008-02-12,184,184,168,180,204
2008-02-13,178.9,179.5,178.9,179.5,14
2008-02-14,170.2,183.9,170,183,149
2008-02-15,179.5,182.9,171,182.9,48
2008-02-18,182.9,182.9,182.9,182.9,1
2008-02-19,182.9,182.9,182.9,182.9
2008-02-20,176,180,176,180,229
2008-02-22,182.8,183,182.8,182.9,61
2008-02-25,182.9,182.9,182.9,182.9,7
2008-02-26,182.7,182.7,173,182.4,48
2008-02-27,173,181.9,173,181.9,9
2008-02-28,180,180,180,180,30
2008-03-03,181.5,181.5,180,181.5,14
2008-03-04,181.5,181.5,181.5,181.5,1
2008-03-05,181.5,181.5,181.5,181.5,10
2008-03-06,181.5,181.5,181.5,181.5,1
2008-03-07,180,180,180,180,3
2008-03-10,180,180,180,180,3
2008-03-11,180,180,180,180,4
2008-03-12,181.5,181.5,180,180,29
2008-03-13,177,180,173,180,64
2008-03-14,180,182.9,180,182.9,3
2008-03-17,179.9,179.9,172,179.7,80
2008-03-18,178.3,182.9,178.3,182.9,248
2008-03-19,185.5,188.8,182.9,188.8,210
2008-03-20,188.3,188.3,180,183.1,23
2008-03-25,188.2,188.2,188.2,188.2,100
2008-03-26,185,192.7,185,192.7,31
2008-03-27,191.7,191.7,191.7,191.7,1
2008-03-28,191.7,192.9,191.7,192,110
2008-03-31,192,192,192,192,1
2008-04-01,192.9,196,192.9,196,29
2008-04-02,200.1,200.1,194,196,129
2008-04-03,196,196,193.1,196,32
2008-04-04,210,210,204.9,204.9,75
2008-04-07,202.9,202.9,196,196,11
2008-04-08,202.9,202.9,196,196,2847
2008-04-09,202.7,202.7,202.7,202.7,2
2008-04-10,202.7,202.7,202.7,202.7,5
2008-04-14,200,200,200,200,1
2008-04-15,198.9,198.9,198.9,198.9,1
2008-04-16,198.8,198.8,198.8,198.8,1
2008-04-17,190,201.9,190,201.9,124
2008-04-18,198.2,201,198,201,355
2008-04-21,191.5,200,191,200,438
2008-04-22,202.9,215,202.9,214,2401
2008-04-23,213.5,214,208.4,208.4,33
2008-04-24,211,213.9,211,213.9,65
2008-04-25,213.6,228,211,228,95
2008-04-28,230,237.7,228,237.7,22
2008-04-29,242.5,242.5,240,240,27
2008-04-30,239.9,239.9,230,239.5,22
2008-05-05,239.2,239.2,237.9,237.9,7
2008-05-06,215.5,237.7,215.5,237.4,33
2008-05-07,230,236.6,228,236.6,2697
2008-05-08,230,234.7,225,234.7,5243
2008-05-09,230,230,230,230,15251
2008-05-12,220,220.3,220,220,132
2008-05-13,220,230,220,230,58
2008-05-14,229.9,230,229.9,230,168
2008-05-15,231,231,231,231,75
2008-05-16,225,226,225,225,65
2008-05-19,225,225,220.1,221,1067
2008-05-20,219.9,219.9,219.9,219.9,2
2008-05-21,219.9,219.9,219.9,219.9,2
2008-05-23,218.9,218.9,218.8,218.8,15
2008-05-26,218.8,218.8,218.8,218.8,1
2008-05-28,220,224.5,220,224.5,74
2008-05-29,224.5,224.6,220,224.6,4
2008-05-30,224.4,224.4,224.4,224.4,2
2008-06-02,224.6,225,224.6,225,37
2008-06-03,220.5,226,220.5,220.6,112
2008-06-04,221,221.1,221,221.1,26
2008-06-05,230.2,230.2,230.2,230.2,2
2008-06-06,225,229.9,225,229.9,100
2008-06-09,222,229.9,222,229.9,26
2008-06-10,222,226,220,226,83
2008-06-11,229.8,239.8,220.2,220.2,116
2008-06-12,226,231,222,229.7,113
2008-06-13,229,229.9,229,229,86
2008-06-16,230,238,230,235.4,111
2008-06-17,235.4,235.4,235.4,235.4,2
2008-06-18,221.6,234,221.6,234,34
2008-06-19,225.1,233.9,225,233.6,12
2008-06-20,232.9,232.9,232,232,3
2008-06-23,227.1,232,227.1,232,15
2008-06-24,225.5,230,225.5,230,13
2008-06-25,232,236,224,234.8,18
2008-06-26,235,235,235,235,5
2008-06-27,232,232,232,232,1
2008-06-30,225,238,225,235,8
2008-07-01,224.1,236.4,224.1,236.4,5
2008-07-02,236.5,238,220,220,3095
2008-07-03,220,230,220,230,98
2008-07-04,225,229.9,225,229.9,23
2008-07-07,221,224.9,221,224.7,7
2008-07-08,213,219.4,213,219.4,28
2008-07-09,219.5,221.8,219.5,221.8,73
2008-07-10,220,220,220,220,101
2008-07-11,220,220,218,220,2909
2008-07-15,215,216.9,210,216.9,1170
2008-07-16,216.8,216.8,216.8,216.8,101
2008-07-17,220.9,221.8,218,221.8,1073
2008-07-18,220,221.8,220,220.5,547
2008-07-21,220,221.4,220,221.4,716
2008-07-23,223,229.9,223,229.9,128
2008-07-24,230,235,225.5,235,213
2008-07-25,231.7,231.8,231.7,231.8,5
2008-07-28,231.8,231.8,231.8,231.8,3
2008-07-29,232,232,232,232,1
2008-07-30,230,232.5,230,232.5,5
2008-07-31,235,235,230,230,140
2008-08-01,230,230,230,230,11
2008-08-04,226,226,226,226,15
2008-08-05,232,232,229,229,10
2008-08-06,234,234,232.9,232.9,25
2008-08-07,220,231.9,220,220,803
2008-08-08,220,220,200,205,125
2008-08-11,190,209.9,190,209.9,11
2008-08-12,205,209.8,205,209.8,35
2008-08-13,208,209.9,205,209.9,21
2008-08-14,209.9,209.9,209.9,209.9,3
2008-08-18,209.9,215.7,209.9,215.7,6
2008-08-19,210,214,200,209.9,272
2008-08-20,215.7,215.7,187,196.6,570
2008-08-21,195.8,195.8,182.5,182.5,3
2008-08-22,190,190,190,190,1
2008-08-25,194.8,199.4,194.5,199.4,110
2008-08-26,202,202,202,202
2008-08-27,203,204.8,203,204.8,21
