Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-11-19,6.4207,6.9729,6.4207,6.5776,117773
2007-11-20,6.5834,6.6822,6.5079,6.6822,13674
2007-11-21,6.7404,6.7404,6.63,6.6822,25361
2007-11-22,6.6822,6.6822,6.3917,6.3917,1765
2007-11-23,6.4499,6.7404,6.4499,6.7404,4141
2007-11-26,6.9729,6.9729,6.7404,6.8566,11495
2007-11-28,6.8856,6.9729,6.8856,6.9729,1748
2007-11-29,7.031,7.031,7.031,7.031,18
2007-12-03,6.5834,6.9729,6.4557,6.9729,343
2007-12-05,7.4958,7.4958,7.4958,7.4958,4
2007-12-06,7.031,7.031,7.031,7.031,1222
2007-12-07,7.089,7.089,6.9148,6.9148,988
2007-12-10,6.9729,7.031,6.9729,7.031,1942
2007-12-11,6.7811,7.031,6.7811,7.031,980
2007-12-12,6.967,7.147,6.9148,7.147,11025
2007-12-13,7.1762,7.1762,7.1762,7.1762,2
2007-12-14,7.1762,7.1762,7.1762,7.1762,18
2007-12-17,7.2633,7.2633,7.089,7.2053,2001
2007-12-19,7.2633,7.2633,7.089,7.2633,224
2007-12-20,6.9729,7.2633,6.9729,6.9729,517
2007-12-21,7.2342,7.2342,6.9729,7.2342,18071
2007-12-27,7.0425,7.0425,7.031,7.031,863
2007-12-28,6.7404,7.3796,6.7404,7.2633,7744
2008-01-02,7.2633,7.2633,7.2633,7.2633,2684
2008-01-03,7.2633,7.2633,7.0367,7.0367,879
2008-01-04,7.0367,7.0367,7.0367,7.0367,861
2008-01-07,6.9729,7.2053,6.9729,7.2053,122
2008-01-08,7.2053,7.2923,7.089,7.2691,273759
2008-01-09,6.9786,6.9786,6.9729,6.9729,9470
2008-01-10,7.1995,7.1995,7.1995,7.1995,45
2008-01-14,7.0135,7.2053,6.8566,7.2053,44212
2008-01-16,6.8566,6.8566,6.6822,6.6822,75949
2008-01-17,6.967,6.967,6.9148,6.9148,52232
2008-01-21,7.2053,7.2053,7.2053,7.2053,23
2008-01-22,6.9729,6.9729,6.3917,6.8623,94822
2008-01-23,6.8856,7.089,6.8856,6.9729,54285
2008-01-25,6.9729,7.031,6.9729,7.031,685
2008-01-28,6.6822,7.147,6.6822,7.147,1875
2008-01-29,7.2053,7.2633,7.2053,7.2633,1378
2008-02-01,7.2342,7.2633,7.2342,7.2633,4107
2008-02-04,7.147,7.4958,7.147,7.2633,10498
2008-02-05,7.4145,7.4958,7.4145,7.4958,2
2008-02-06,7.2633,7.2633,7.2633,7.2633,835
2008-02-07,7.4958,7.5539,7.2633,7.2633,2770
2008-02-08,7.548,7.5539,7.2633,7.5539,2755
2008-02-13,7.5539,7.5539,7.5539,7.5539,24
2008-02-14,7.5539,7.5539,7.5539,7.5539,387
2008-02-15,7.5539,7.5539,7.5539,7.5539,2581
2008-02-19,7.5539,7.5539,7.5539,7.5539,67
2008-02-20,7.5539,7.6991,7.5539,7.6991,189846
2008-02-21,7.6991,7.8444,7.6991,7.8444,4266
2008-02-22,7.8444,8.1352,7.8444,7.8444,937
2008-02-25,7.583,7.8386,7.5655,7.8386,1480
2008-02-26,7.6991,7.7862,7.6991,7.6991,1246
2008-02-27,7.8386,7.9897,7.6409,7.6409,13905
2008-02-28,7.9605,7.9897,7.583,7.9897,1859
2008-02-29,7.9897,8.1057,7.9605,7.9605,2257
2008-03-03,8.0187,8.1057,7.8444,7.9605,839
2008-03-04,8.0474,8.0474,7.6409,7.6409,1065
2008-03-05,7.5539,7.5539,7.5539,7.5539,532
2008-03-06,7.4376,8.013,7.4376,7.8153,682
2008-03-07,7.4435,7.5539,7.2053,7.2053,1202
2008-03-10,7.8444,7.8444,7.8444,7.8444,1
2008-03-12,7.4958,7.9025,7.4958,7.9025,2450
2008-03-13,7.8444,7.8444,7.7282,7.7282,236
2008-03-17,7.5539,7.5539,7.5539,7.5539,414
2008-03-20,7.0541,7.0541,7.0425,7.0425,638
2008-03-25,7.0425,7.0425,7.0425,7.0425,517
2008-03-26,7.0425,7.0425,7.0425,7.0425,85
2008-03-27,7.0425,7.304,7.0425,7.2342,2132
2008-03-28,7.362,7.362,7.362,7.362,517
