Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-08-11,10.64,13.152,10.64,13.087,51727
2011-08-12,13.079,13.087,12.593,13.087,9685
2011-08-16,12.765,13.087,12.765,13.087,1551
2011-08-17,12.724,13.021,12.724,13.021,2521
2011-08-18,12.765,13.002,12.724,13.002,3186
2011-08-19,12.731,12.955,12.731,12.955,4686
2011-08-22,12.823,12.823,12.823,12.823,2434
2011-08-23,12.823,12.823,12.79,12.816,3801
2011-08-24,12.79,12.895,12.79,12.895,11649
2011-08-25,12.823,12.948,12.823,12.895,1299
2011-08-26,12.803,12.922,12.803,12.922,1427
2011-08-29,12.961,13.481,12.915,13.481,8574
2011-08-30,13.087,13.481,13.087,13.481,2112
2011-08-31,13.185,13.941,13.185,13.941,3847
2011-09-01,12.989,14.269,12.989,14.269,3459
2011-09-02,14.269,14.269,14.269,14.269,46
2011-09-05,14.204,14.204,14.204,14.204,6
2011-09-06,13.283,14.269,13.152,14.269,6435
2011-09-09,13.81,14.204,13.422,14.204,925
2011-09-12,13.81,14.264,13.322,14.264,1628
2011-09-13,13.81,14.172,13.422,14.172,1272
2011-09-14,13.422,14.172,13.422,14.172,684
2011-09-15,13.435,14.172,13.435,14.172,2250
2011-09-19,13.81,14.172,13.81,14.172,907
2011-09-20,14.172,14.403,14.172,14.403,1119
2011-09-21,13.816,14.269,13.816,14.269,884
2011-09-22,13.684,13.684,13.645,13.645,3027
2011-09-23,13.481,13.481,13.251,13.257,15221
2011-09-26,13.159,13.678,13.152,13.35,10353
2011-09-27,13.152,13.317,13.152,13.152,67496
2011-09-28,13.744,13.744,13.152,13.645,31178
2011-09-29,13.159,13.54,13.159,13.481,2619
2011-09-30,13.149,13.149,13.121,13.121,65389
2011-10-03,13.146,13.146,13.087,13.087,303
2011-10-04,13.092,13.092,13.092,13.092,62
2011-10-05,13.139,13.146,13.139,13.146,305
2011-10-06,13.146,13.146,13.146,13.146,17
2011-10-07,13.81,13.81,13.1,13.81,785
2011-10-11,13.547,13.803,13.547,13.803,3649
2011-10-12,13.172,13.778,13.172,13.778,2176
2011-10-13,13.645,13.645,13.645,13.645,152
2011-10-14,13.283,13.678,13.283,13.678,30468
2011-10-17,13.283,13.712,13.283,13.712,18279
2011-10-18,13.712,13.712,13.712,13.712,16
2011-10-19,13.744,13.744,13.744,13.744,22
2011-10-20,13.283,13.547,13.283,13.547,1460
2011-10-21,13.296,13.81,13.296,13.81,1490
2011-10-24,13.671,13.671,13.671,13.671,716
2011-10-25,13.415,13.81,13.415,13.81,507
2011-10-26,13.671,13.81,13.671,13.81,684
2011-10-27,13.671,14.264,13.671,14.264,3177
2011-10-28,13.816,14.139,13.81,14.131,3649
2011-10-31,14.129,14.435,14.129,14.435,2719
2011-11-02,13.81,13.941,13.744,13.744,4187
2011-11-03,14.403,14.403,13.816,13.849,198903
2011-11-04,13.948,14.105,13.875,14.105,776
2011-11-07,14.204,14.335,13.823,14.335,2344
2011-11-08,14.335,14.335,14.335,14.335,21
2011-11-09,13.849,14.131,13.842,14.131,1998
2011-11-14,13.908,14.126,13.908,14.126,303
2011-11-15,13.941,14.139,13.941,14.139,456
2011-11-16,13.842,14.118,13.842,14.118,61207
2011-11-18,13.816,14.139,13.81,14.139,1230
2011-11-21,14.131,14.139,14.131,14.139,303
2011-11-22,13.81,14.231,13.81,14.231,167
2011-11-25,14.198,14.198,14.198,14.198,274
2011-11-30,14.063,14.464,13.88,14.333,4498
2011-12-01,14.403,14.403,14.403,14.403,16
2011-12-05,13.882,14.33,13.882,14.33,2053
2011-12-08,14.139,14.139,13.875,13.875,1061
2011-12-09,13.875,14.092,13.81,14.092,1182
2011-12-14,14.204,14.204,14.204,14.204,2
2011-12-15,14.204,14.467,13.81,14.126,34839
2011-12-16,13.816,14.126,13.684,14.126,16446
2011-12-19,13.684,13.684,13.448,13.678,3414
2011-12-20,13.415,13.481,13.415,13.481,5105
2011-12-21,13.475,13.475,13.409,13.415,6895
2011-12-22,13.415,13.415,13.415,13.415,342
2011-12-23,13.639,14.599,13.639,14.599,274
2011-12-27,14.592,14.592,13.415,13.415,3623
2011-12-28,13.415,13.415,13.021,13.283,5127
2011-12-29,13.021,13.152,13.021,13.152,741
2011-12-30,13.347,13.347,13.149,13.149,766
2012-01-02,14.467,14.467,14.131,14.467,768
2012-01-03,13.81,13.81,13.81,13.81,274
2012-01-04,13.481,14.112,13.481,14.112,472
2012-01-13,13.488,14.112,13.291,14.112,2186
2012-01-16,13.317,14.112,13.317,14.112,525
2012-01-17,14.073,14.467,14.073,14.467,266
2012-01-18,13.816,14.198,13.816,14.178,32474
2012-01-19,14.185,14.335,14.172,14.335,291
2012-01-20,14.467,14.467,14.467,14.467,4
2012-01-26,14.105,14.105,14.105,14.105,43
2012-01-27,14.105,14.126,14.105,14.126,1216
2012-01-30,14.139,14.139,14.105,14.139,78
2012-01-31,14.135,14.135,13.807,14.107,1098
2012-02-02,13.81,14.139,13.81,14.139,1551
2012-02-03,14.139,14.139,13.81,14.139,700
2012-02-07,14.467,14.467,13.81,13.816,2684
