Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1998-06-02,13.91,13.91,13.91,13.91,440294
1998-06-03,15.282,15.282,15.282,15.282,168788
1998-06-04,16.655,16.655,16.655,16.655,499883
1998-06-05,16.857,16.857,16.857,16.857,192127
1998-06-08,16.787,16.787,16.787,16.787,108075
1998-06-09,16.101,16.101,16.101,16.101,74651
1998-06-10,14.8,14.8,14.8,14.8,149142
1998-06-15,13.91,13.91,13.91,13.91,246588
1998-06-16,14.393,14.393,14.393,14.393,203982
1998-06-17,15.759,15.759,15.759,15.759,125519
1998-06-18,16.031,16.031,16.031,16.031,108560
1998-06-19,15.898,15.898,15.898,15.898,148484
1998-06-22,16.311,16.311,16.311,16.311,212516
1998-06-23,16.787,16.787,16.787,16.787,204190
1998-06-24,16.787,16.787,16.787,16.787,72593
1998-06-25,16.787,16.787,16.787,16.787,82889
1998-06-26,17.333,17.333,17.333,17.333,301558
1998-06-29,17.677,17.677,17.677,17.677,137213
1998-06-30,17.817,17.817,17.817,17.817,122946
1998-07-01,18.705,18.705,18.705,18.705,159600
1998-07-02,19.049,19.049,19.049,19.049,135456
1998-07-03,19.531,19.531,19.531,19.531,142420
1998-07-06,20.211,20.211,20.211,20.211,162969
1998-07-07,20.764,20.764,20.764,20.764,315243
1998-07-08,20.554,20.554,20.554,20.554,98102
1998-07-09,19.531,19.531,19.531,19.531,219042
1998-07-10,19.531,19.531,19.531,19.531,95063
1998-07-13,20.897,20.897,20.897,20.897,38996
1998-07-14,22.472,22.472,22.472,22.472,194227
1998-07-15,22.472,22.472,22.472,22.472,116975
1998-07-16,22.268,22.268,22.268,22.268,74776
1998-07-17,22.816,22.816,22.816,22.816,129666
1998-07-20,22.268,23.844,22.268,23.641,114594
1998-07-21,23.844,23.844,23.159,23.299,167432
1998-07-22,22.816,22.816,22.268,22.472,141600
1998-07-23,22.613,23.844,22.613,23.502,130093
1998-07-24,22.955,23.641,22.955,23.299,121319
1998-07-27,23.159,23.159,21.926,22.136,109153
1998-07-28,22.268,22.268,21.583,21.794,155611
1998-07-29,21.24,21.794,20.764,21.794,171805
1998-07-30,21.926,22.472,21.583,21.794,84492
1998-07-31,22.472,22.472,21.926,22.136,90759
1998-08-03,21.583,21.926,21.449,21.794,283395
1998-08-04,21.926,22.955,21.926,22.955,101389
1998-08-05,22.268,22.955,22.268,22.613,147920
1998-08-06,23.299,23.844,22.816,22.955,143943
1998-08-07,23.641,24.671,23.299,24.671,182412
1998-08-10,23.984,24.671,23.984,24.327,133197
1998-08-11,23.502,23.502,21.794,22.136,220016
1998-08-12,23.299,23.502,22.472,22.955,202553
1998-08-13,21.926,21.926,21.107,21.583,236620
1998-08-14,22.268,22.955,22.268,22.816,89723
1998-08-17,21.583,21.926,21.449,21.794,86411
1998-08-18,22.613,22.955,22.613,22.613,106538
1998-08-19,23.502,23.502,22.613,23.299,150639
1998-08-20,23.159,23.299,22.955,23.159,210068
1998-08-21,21.794,22.136,21.583,22.136,150888
1998-08-24,22.613,22.613,22.136,22.136,78349
1998-08-25,22.955,23.159,22.816,22.816,133577
1998-08-26,22.136,22.136,21.583,21.583,68368
1998-08-27,20.764,20.764,19.19,19.19,103859
1998-08-28,18.705,19.735,18.02,19.19,139551
1998-08-31,19.531,19.531,19.19,19.391,179667
1998-09-01,17.817,18.845,17.817,18.503,117690
1998-09-02,19.531,20.421,19.531,20.078,174783
1998-09-03,19.19,19.19,18.362,18.362,83102
1998-09-04,19.19,19.875,19.19,19.735,180242
1998-09-07,20.764,21.107,20.078,20.421,150101
1998-09-08,20.764,21.449,20.554,21.449,159606
1998-09-09,20.554,20.554,19.875,20.078,110106
1998-09-10,20.211,20.554,19.875,19.875,200875
1998-09-11,19.531,19.735,19.531,19.531,128542
1998-09-14,20.421,20.554,20.078,20.421,70379
1998-09-15,20.421,20.421,19.735,19.735,48169
1998-09-16,19.875,19.875,19.735,19.735,73326
1998-09-17,18.845,18.845,18.16,18.16,92569
1998-09-18,18.16,18.845,18.16,18.845,50898
1998-09-21,18.503,18.503,18.16,18.16,203989
1998-09-22,19.19,19.875,19.19,19.531,92139
1998-09-23,20.421,20.764,20.421,20.554,159664
1998-09-24,21.926,21.926,21.24,21.24,108795
1998-09-25,20.897,21.107,20.554,20.897,120949
1998-09-28,21.583,21.926,21.449,21.926,77345
1998-09-29,22.816,23.299,22.613,23.159,160705
1998-09-30,22.816,22.816,21.926,22.613,110049
1998-10-01,21.583,21.583,20.897,21.24,59159
1998-10-02,20.554,21.583,20.554,21.449,66260
1998-10-05,21.449,21.926,21.24,21.24,38255
1998-10-06,21.583,21.794,21.583,21.794,53718
