Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2006-10-10,13.469,15.635,13.229,14.604,1512172
2006-10-11,15.155,15.155,14.722,15.155,295775
2006-10-12,15.155,15.155,14.672,14.818,30429
2006-10-13,14.811,14.818,13.964,13.964,13198
2006-10-16,13.621,14.625,13.621,14.432,72270
2006-10-17,14.481,14.722,14.198,14.426,56910
2006-10-18,14.432,14.769,14.248,14.749,25795
2006-10-19,14.432,14.715,14.432,14.432,26440
2006-10-20,14.384,14.625,14.288,14.625,22906
2006-10-23,14.432,14.528,14.281,14.288,7793
2006-10-24,14.254,14.254,14.095,14.122,48512
2006-10-25,14.095,14.232,13.593,14.232,26460
2006-10-26,14.192,14.432,14.192,14.432,106941
2006-10-27,14.192,14.818,14.192,14.432,22906
2006-10-30,14.192,14.432,14.192,14.432,10248
2006-10-31,14.432,14.432,14.192,14.192,18812
2006-11-02,14.192,14.481,14.192,14.481,1162
2006-11-03,14.481,14.481,14.192,14.192,12201
2006-11-06,14.192,14.577,14.192,14.57,3991
2006-11-07,14.625,14.625,14.144,14.528,11744
2006-11-08,14.625,14.913,14.577,14.913,14800
2006-11-09,14.913,15.134,14.769,15.134,3449
2006-11-10,15.134,15.299,14.144,14.913,24465
2006-11-13,14.913,14.913,14.672,14.913,2431
2006-11-14,14.865,14.865,14.446,14.818,437
2006-11-15,15.01,15.155,14.672,15.155,47098
2006-11-16,15.106,15.155,15.106,15.147,4655
2006-11-17,15.106,15.106,15.106,15.106,28538
2006-11-20,15.147,15.443,15.147,15.443,52484
2006-11-21,15.443,15.903,15.347,15.725,224171
2006-11-22,15.877,16.736,15.828,16.736,73642
2006-11-23,16.839,16.839,16.358,16.791,2827
2006-11-24,16.839,16.839,16.549,16.839,8524
2006-11-27,16.791,17.918,16.694,17.918,5903
2006-11-28,17.897,18.187,17.629,18.187,6464
2006-11-29,18.042,18.042,17.801,17.801,9314
2006-11-30,18.234,18.764,18.187,18.764,3036
2006-12-01,19.101,19.727,19.101,19.727,105214
2006-12-04,19.966,20.016,18.62,19.245,18852
2006-12-05,18.86,19.823,18.579,19.823,3888
2006-12-06,20.016,20.016,18.579,19.727,31719
2006-12-07,19.727,19.727,19.245,19.492,44337
2006-12-08,19.679,19.727,19.679,19.727,2993
2006-12-11,19.727,19.727,19.245,19.245,997
2006-12-12,19.239,19.486,19.197,19.486,84721
2006-12-13,19.533,20.208,19.533,20.208,33341
2006-12-14,20.208,21.556,20.208,21.171,8272
2006-12-15,20.786,22.085,19.149,22.085,29432
2006-12-18,22.47,24.154,21.652,22.855,23841
2006-12-19,23.357,23.357,22.505,22.848,4033
2006-12-20,23.336,23.336,21.604,22.566,8189
2006-12-21,22.181,22.181,22.085,22.133,5966
2006-12-22,20.689,21.604,20.689,20.93,12970
2006-12-27,20.834,20.834,19.727,20.689,10664
2006-12-28,21.171,21.171,20.063,20.689,17148
2006-12-29,20.689,20.93,19.294,19.727,155495
2007-01-02,19.727,19.966,19.362,19.727,2597
2007-01-03,19.823,19.823,19.823,19.823,42381
2007-01-04,19.96,19.96,19.96,19.96,62
2007-01-05,19.492,19.679,19.389,19.389,22719
2007-01-08,19.343,19.343,19.053,19.053,373
2007-01-09,19.053,19.954,19.053,19.603,20972
2007-01-10,19.603,20.125,19.603,20.125,437
2007-01-11,19.727,20.146,19.727,20.112,30451
2007-01-12,20.112,20.112,20.105,20.112,7067
2007-01-15,20.112,20.352,20.112,20.215,3013
2007-01-16,20.449,20.592,20.174,20.174,16212
2007-01-17,20.208,21.171,20.201,21.171,11702
2007-01-18,21.171,21.989,21.171,21.989,7420
2007-01-19,21.989,22.855,21.556,22.855,15276
2007-01-22,22.855,23.048,22.855,22.855,2121
2007-01-24,22.374,22.614,21.892,22.614,2349
2007-01-25,22.614,22.614,22.278,22.278,291
2007-01-26,21.989,21.989,20.641,20.641,1434
2007-01-29,20.215,21.143,19.727,21.143,17273
2007-01-30,21.266,21.652,20.449,21.652,1745
2007-01-31,22.071,22.133,21.652,22.106,125231
2007-02-01,22.339,22.339,21.652,22.12,310
2007-02-02,22.133,22.133,22.085,22.133,70233
2007-02-05,22.181,22.278,22.085,22.085,104508
2007-02-06,21.652,22.278,20.979,21.989,65433
2007-02-07,22.278,22.278,21.748,21.748,291
2007-02-08,22.228,22.228,21.652,21.699,728
2007-02-09,22.079,22.079,20.737,21.604,21222
2007-02-12,22.079,22.079,22.079,22.079,62
2007-02-13,22.071,22.071,21.652,21.652,2098
2007-02-14,21.219,21.941,21.171,21.941,62625
2007-02-15,21.652,21.652,21.508,21.652,3013
2007-02-16,21.933,21.933,21.892,21.892,41634
2007-02-19,21.652,21.892,21.652,21.892,17606
