Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1999-04-20,37.345,37.345,34.502,35.248,286380
1999-04-21,35.177,35.327,34.8,34.95,214584
1999-04-22,35.177,37.345,35.177,36.748,207952
1999-04-23,36.975,38.169,36.748,37.196,219703
1999-04-26,37.046,37.274,36.677,36.677,120681
1999-04-27,36.3,36.3,35.555,35.774,113333
1999-04-28,35.555,35.555,34.431,34.581,68219
1999-04-29,34.352,35.028,34.054,34.431,83934
1999-04-30,34.352,34.95,34.352,34.729,68535
1999-05-04,35.327,35.555,34.729,35.098,23379
1999-05-05,34.879,34.879,34.203,34.431,67565
1999-05-06,34.431,34.431,34.054,34.054,87066
1999-05-07,34.054,34.431,33.677,33.976,93575
1999-05-10,33.755,33.755,32.931,33.308,28874
1999-05-11,32.782,32.782,32.106,32.483,125969
1999-05-12,32.554,32.633,31.957,32.185,80871
1999-05-13,32.256,32.931,32.256,32.931,39968
1999-05-14,33.677,33.677,32.483,32.633,35921
1999-05-17,32.404,32.483,32.106,32.334,90363
1999-05-18,32.782,32.931,32.334,32.703,22639
1999-05-19,32.703,32.703,32.404,32.633,47810
1999-05-20,32.633,32.861,32.554,32.554,90540
1999-05-21,33.009,33.755,33.009,33.528,76086
1999-05-24,33.755,33.755,33.229,33.457,36757
1999-05-25,32.861,33.08,32.554,32.931,46885
1999-05-26,32.931,33.159,32.782,32.931,29875
1999-05-27,32.861,32.861,32.554,32.554,25010
1999-05-28,32.256,32.554,32.256,32.483,24695
1999-05-31,32.256,32.334,32.106,32.256,14965
1999-06-01,32.554,33.229,32.554,32.703,28802
1999-06-02,32.931,33.457,32.931,33.08,18881
1999-06-07,33.528,34.054,33.528,34.054,31088
1999-06-08,34.133,34.133,33.826,33.905,49489
1999-06-09,33.905,35.327,33.905,35.098,72589
1999-06-10,34.879,35.405,34.651,34.651,39849
1999-06-11,35.177,35.405,34.8,35.327,45088
1999-06-14,35.177,35.177,34.581,34.8,17195
1999-06-15,34.581,34.879,34.581,34.729,19184
1999-06-16,34.581,34.581,34.431,34.431,15764
1999-06-17,34.95,35.476,34.651,34.651,21376
1999-06-18,35.177,35.177,34.581,34.581,22114
1999-06-21,35.098,35.098,34.651,34.8,23807
1999-06-22,35.098,36.3,35.098,35.923,139703
1999-06-23,35.555,35.923,35.476,35.703,46675
1999-06-24,35.923,35.923,35.555,35.774,40313
1999-06-25,35.555,35.555,34.729,35.028,20993
1999-06-28,35.028,35.028,33.976,34.95,25265
1999-06-29,34.8,34.8,33.677,34.203,7085
