Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-10-05,23.98,23.98,22,22.89,5355
2015-10-06,23,23,22.02,22.78,1039
2015-10-07,22.5,22.7,22.36,22.36,437
2015-10-08,22.4,22.4,22.4,22.4,740
2015-10-09,22.26,23.6,22.12,23.6,2121
2015-10-12,23.6,23.85,23.53,23.85,912
2015-10-13,23.85,23.85,23.85,23.85,1264
2015-10-14,23.5,23.5,23.5,23.5,176
2015-10-15,23.5,23.5,22.32,23,127
2015-10-16,22.4,23.02,22.4,23.02,264
2015-10-19,22.45,22.45,22.4,22.4,816
2015-10-20,22.4,22.4,22.32,22.32,413
2015-10-21,21.34,21.8,21.3,21.5,1393
2015-10-22,21.62,21.8,21,21.5,2978
2015-10-23,21.8,21.8,21,21,1245
2015-10-26,21,21,20.5,20.61,2298
2015-10-27,20.62,21.17,20.62,21.01,896
2015-10-28,22.8,23,21.2,21.2,325
2015-10-29,21.5,21.5,20.65,20.65,1112
2015-11-02,20.54,21,20.5,21,1862
2015-11-03,21.2,22,20.81,22,892
2015-11-04,22,22,22,22,100
2015-11-05,22,22.3,22,22,114
2015-11-06,23.1,23.39,23.1,23.1,342
2015-11-09,23.1,23.8,23.1,23.77,1110
2015-11-10,23.69,23.69,23.69,23.69,1000
2015-11-12,23.59,23.59,23,23.2,838
2015-11-13,23.2,23.2,23,23,582
2015-11-16,23.15,23.59,23.15,23.4,2880
2015-11-17,23.4,23.4,22.7,22.7,1584
2015-11-18,23.1,23.19,23.1,23.16,1204
2015-11-19,23.19,23.19,22.55,22.55,1138
2015-11-20,22.56,22.56,22.5,22.5,263
2015-11-23,22.55,22.55,21.5,21.5,1497
2015-11-24,22,22.55,22,22.55,257
2015-11-25,22.99,23.2,22.85,23.2,731
2015-11-26,23.19,23.19,23,23,458
2015-11-27,23,23,21.5,22,1096
2015-11-30,22,22,22,22,836
2015-12-01,21.5,21.5,21.5,21.5,55
2015-12-02,21.48,21.48,21.48,21.48,1
2015-12-03,21.38,21.4,19.5,21.4,748
2015-12-04,21.4,21.4,21.3,21.3,22
2015-12-07,20.15,21.3,20.15,21.3,248
2015-12-08,20.3,21.3,20.16,21.3,158
2015-12-09,20.16,20.21,20.15,20.15,947
2015-12-10,20,20.05,18,19.06,3410
2015-12-11,20.05,20.05,19.5,19.5,5332
2015-12-14,18.9,19.4,18.15,19.4,438
2015-12-15,18.2,18.87,18,18.8,761
2015-12-16,19,19,19,19,317
2015-12-17,18.51,19.4,18.51,19.4,6185
2015-12-18,19,19,19,19,793
2015-12-21,18.7,18.7,18.26,18.26,173
2015-12-22,18.16,18.16,17.05,17.85,1574
2015-12-23,17.85,17.85,17.2,17.85,5141
2015-12-28,17.55,17.55,17.2,17.25,1494
2015-12-29,17.2,18.48,17.2,18.48,2771
2016-01-04,20.2,20.2,20.2,20.2,145
2016-01-07,20,20,20,20,5
2016-01-19,18.99,19.8,17.51,18.1,232
2016-01-20,17.5,18.7,17.39,17.61,569
2016-01-21,17.6,17.6,17.6,17.6,119
2016-01-22,18,19.59,18,19.59,63
2016-01-25,19.8,19.8,19.5,19.5,626
2016-01-26,19.5,19.8,18,18.04,424
2016-01-27,18.04,19.72,18.04,19.72,376
2016-01-28,19,19,18.2,18.2,902
2016-01-29,19.74,19.74,18,19.3,402
2016-02-01,19.78,19.78,18.07,19.5,110
2016-02-02,18.4,19.5,18.4,19.5,9
2016-02-03,18.38,18.6,18,18.1,837
2016-02-04,18.99,18.99,18.2,18.2,217
2016-02-05,18.3,18.3,18.2,18.2,220
2016-02-08,18.2,19.7,18.1,19.4,141
2016-02-10,18.17,19.35,18.17,18.36,238
2016-02-11,18.2,19.38,18.2,19.38,12
2016-02-15,18.32,18.43,18.32,18.41,201
2016-02-16,19,19.2,18.32,18.32,22
2016-02-18,18.31,19.38,18.31,19.38,306
2016-02-19,19.29,19.3,19.29,19.3,360
2016-02-23,19.29,19.29,19.29,19.29,50
2016-02-29,18.65,18.65,18.57,18.57,703
2016-03-01,19.25,19.25,19,19.25,96
2016-03-02,19.25,19.25,19.2,19.25,435
2016-03-03,19.25,19.97,19,19.97,1908
2016-03-04,20,20,19.48,19.5,489
2016-03-07,19.5,19.5,19.01,19.49,121
2016-03-08,19.5,20.58,19.47,20.58,1819
2016-03-09,20.56,20.56,20.56,20.56,1
2016-03-10,20.56,20.56,20.56,20.56,33
2016-03-11,20.56,20.56,20.56,20.56,184
2016-03-14,20.56,20.56,19.7,20.56,66
2016-03-15,20.56,20.58,20.56,20.58,1046
2016-03-16,21,21,21,21,1
2016-03-17,21,21.3,20.57,21.3,729
2016-03-18,21.3,21.3,21.3,21.3,5
2016-03-21,21.3,21.3,20.01,20.99,156
2016-03-22,20.9,20.9,20.9,20.9,1
2016-03-23,20.9,20.9,20,20,961
2016-03-24,19.03,19.98,19.03,19.98,342
2016-03-29,20,20,20,20,10
2016-03-30,19.98,19.98,19.98,19.98,177
2016-03-31,20,20,19.9,19.9,180
2016-04-01,19.9,19.9,19.9,19.9,70
2016-04-04,21.49,21.49,19.6,19.6,682
2016-04-05,20.1,20.1,20.1,20.1,1
2016-04-06,20.1,20.47,20.09,20.47,1152
2016-04-07,21.49,21.49,19.35,20,302
2016-04-08,21.49,21.49,20.7,20.7,51
2016-04-11,20.7,20.7,20.7,20.7,103
2016-04-12,21,21,20.87,21,697
2016-04-13,21.4,21.4,20.6,21.25,3138
2016-04-14,21.25,21.25,21.25,21.25,1
2016-04-15,21,21,20.5,20.5,201
2016-04-18,20.5,20.5,20.5,20.5,316
2016-04-19,20.4,21.4,20.4,20.8,2071
2016-04-20,21.4,21.4,20.8,20.8,732
2016-04-21,21.4,21.4,20.2,20.2,1577
2016-04-22,21.3,21.3,21.3,21.3,1
2016-04-25,21.4,21.4,20,20,936
2016-04-26,20.97,20.97,20.97,20.97,1
2016-04-27,20.97,20.97,20.9,20.9,52
2016-04-28,20.97,20.97,20.97,20.97,2
2016-04-29,20.97,20.97,20.97,20.97,2
2016-05-02,21.26,21.26,20.9,21,1001
2016-05-04,21.26,21.26,21.26,21.26,1
2016-05-05,20.5,20.5,19.41,20,1966
2016-05-06,21.26,21.26,20.5,20.5,219
2016-05-09,20.99,20.99,20.99,20.99,2
