Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1998-05-19,0.32,0.32,0.32,0.32,7173
1998-05-20,0.35,0.35,0.35,0.35,915997
1998-05-21,0.39,0.39,0.39,0.39,303979
1998-05-22,0.43,0.43,0.43,0.43,442685
1998-05-25,0.47,0.47,0.47,0.47,558074
1998-05-26,0.51,0.51,0.51,0.51,2134684
1998-05-27,0.46,0.46,0.46,0.46
1998-05-28,0.42,0.42,0.42,0.42
1998-05-29,0.38,0.38,0.38,0.38,637800
1998-06-01,0.34,0.34,0.34,0.34,398230
1998-06-02,0.31,0.31,0.31,0.31,367388
1998-06-03,0.34,0.34,0.34,0.34,120285
1998-06-04,0.37,0.37,0.37,0.37,435886
1998-06-05,0.35,0.35,0.35,0.35,106138
1998-06-08,0.37,0.37,0.37,0.37,134146
1998-06-09,0.33,0.33,0.33,0.33,142396
1998-06-10,0.32,0.32,0.32,0.32,175534
1998-06-15,0.3,0.3,0.3,0.3,58531
1998-06-16,0.3,0.3,0.3,0.3,66097
1998-06-17,0.32,0.32,0.32,0.32,134132
1998-06-18,0.33,0.33,0.33,0.33,110623
1998-06-19,0.31,0.31,0.31,0.31,107410
1998-06-22,0.33,0.33,0.33,0.33,143672
1998-06-23,0.33,0.33,0.33,0.33,23527
1998-06-24,0.31,0.31,0.31,0.31,72659
1998-06-25,0.32,0.32,0.32,0.32,49061
1998-06-26,0.32,0.32,0.32,0.32,60252
1998-06-29,0.3,0.3,0.3,0.3,47377
1998-06-30,0.3,0.3,0.3,0.3,66420
1998-07-01,0.32,0.32,0.32,0.32,57937
1998-07-02,0.3,0.3,0.3,0.3,8464
1998-07-03,0.31,0.31,0.31,0.31,98267
1998-07-06,0.32,0.32,0.32,0.32,71261
1998-07-07,0.31,0.31,0.31,0.31,74024
1998-07-08,0.3,0.3,0.3,0.3,45745
1998-07-09,0.29,0.29,0.29,0.29,69881
1998-07-10,0.3,0.3,0.3,0.3,38876
1998-07-13,0.29,0.29,0.29,0.29,64302
1998-07-14,0.31,0.31,0.31,0.31,142952
