Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2014-07-11,9.37,9.55,9.37,9.5,445376
2014-07-14,9.54,9.54,9.4,9.44,37452
2014-07-15,9.44,9.44,8.81,9,110496
2014-07-16,9,9,8.73,8.73,33501
2014-07-17,8.8,9.36,8.77,9.34,96403
2014-07-18,9.24,9.34,9.13,9.34,20213
2014-07-21,9.13,9.3,9.13,9.2,11091
2014-07-22,9.2,9.34,8.86,9.34,52844
2014-07-23,9.34,9.34,9.13,9.3,14098
2014-07-24,9.29,9.45,9.29,9.3,39444
2014-07-25,9.01,9.42,9.01,9.36,40844
2014-07-28,9.15,9.38,9.15,9.17,89676
2014-07-29,9.18,9.3,9.14,9.3,31748
2014-07-30,9.21,9.26,9.1,9.2,12554
2014-07-31,9.15,9.15,8.96,9.08,30925
2014-08-01,9.08,9.1,8.92,9.1,25511
2014-08-04,9.06,9.06,8.9,8.97,13962
2014-08-05,8.97,9.08,8.9,9.08,32756
2014-08-06,8.95,9.07,8.53,8.97,4908
2014-08-07,8.85,8.85,8.5,8.6,14676
2014-08-08,8.61,8.75,8.6,8.75,450
2014-08-11,8.75,8.95,8.69,8.95,1400
2014-08-12,8.6,8.94,8.6,8.65,21283
2014-08-13,8.8,8.89,8.57,8.57,14345
2014-08-14,8.25,8.61,8.13,8.44,4236
2014-08-18,8.5,8.61,8.5,8.5,4185
2014-08-19,8.61,8.84,8.4,8.7,6809
2014-08-20,9,9.15,8.61,9.08,294
2014-08-21,8.51,9.07,8.51,8.99,702
2014-08-22,8.81,8.99,8.54,8.98,1857
2014-08-25,8.99,8.99,8.56,8.95,236
2014-08-26,8.9,8.93,8.8,8.93,6110
2014-08-27,8.71,8.93,8.5,8.69,6635
2014-08-28,8.93,8.93,8.51,8.85,1302
2014-08-29,8.51,8.88,8.51,8.83,1400
2014-09-01,8.5,8.6,8.4,8.55,4103
2014-09-02,8.5,8.75,8.42,8.49,5475
2014-09-03,8.55,8.58,8.3,8.58,8984
