Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-10-12,3.29,3.29,2.8,3.08,134755
2011-10-13,3.12,3.12,2.95,3.09,8034
2011-10-14,3.03,3.05,2.9,3.05,6694
2011-10-17,2.95,3.03,2.8,2.8,9395
2011-10-18,2.78,2.9,2.69,2.85,3366
2011-10-19,3,3,2.85,2.9,4260
2011-10-20,2.79,2.99,2.79,2.99,4401
2011-10-21,2.85,2.99,2.84,2.95,1726
2011-10-24,2.99,3.3,2.99,3.3,6732
2011-10-25,3.15,3.45,3,3.45,16294
2011-10-26,3.26,3.8,3.25,3.75,5433
2011-10-27,3.62,3.82,3.61,3.82,10818
2011-10-28,3.84,4.17,3.7,4.13,26265
2011-10-31,4.1,4.1,3.95,4.03,587
2011-11-02,3.9,3.98,3.9,3.98,600
2011-11-03,3.98,3.98,3.98,3.98,551
2011-11-04,3.99,3.99,3.95,3.96,677
2011-11-07,3.97,3.97,3.95,3.95,5403
2011-11-08,3.96,4.03,3.9,3.9,1921
2011-11-09,3.8,3.95,3.7,3.89,2150
2011-11-10,3.89,3.9,3.83,3.83,8940
2011-11-14,3.94,4.11,3.3,3.92,8328
2011-11-15,3.92,3.92,3.85,3.92,1112
2011-11-17,3.92,3.92,3.76,3.92,6027
2011-11-18,3.92,3.92,3.92,3.92,10
2011-11-21,3.92,3.92,3.7,3.7,1600
2011-11-22,3.73,3.86,3.73,3.86,905
2011-11-23,3.74,3.82,3.7,3.8,1420
2011-11-24,3.75,3.75,3.75,3.75,1000
2011-11-25,3.65,3.74,3.3,3.74,5863
2011-11-28,3.58,3.74,3.58,3.74,2300
2011-11-29,3.74,3.74,3.65,3.71,1295
2011-11-30,3.74,3.74,3.6,3.6,1701
2011-12-01,3.58,3.58,3.58,3.58,10
2011-12-02,3.74,3.74,3.5,3.56,1310
2011-12-05,3.74,3.74,3.58,3.58,739
2011-12-06,3.6,3.74,3.6,3.74,7000
2011-12-07,3.74,3.79,3.6,3.79,10877
2011-12-08,3.86,3.86,3.86,3.86,5
2011-12-09,3.8,3.8,3.8,3.8,2
2011-12-12,3.84,3.84,3.75,3.75,1602
2011-12-13,3.8,3.8,3.71,3.77,2601
2011-12-14,3.8,3.8,3.72,3.8,7301
2011-12-15,3.8,3.8,3.8,3.8,1
2011-12-16,3.8,3.8,3.71,3.8,1012
2011-12-19,3.8,3.8,3.8,3.8,309
2011-12-20,3.8,3.8,3.8,3.8,432
2011-12-21,3.78,3.78,3.7,3.75,1617
