Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-06-22,6.1776,6.1776,5.9514,6.0513,67733
2005-06-23,5.9514,5.9847,5.7587,5.8519,32397
2005-06-24,5.792,5.8185,5.7254,5.8185,4282
2005-06-27,5.792,5.8519,5.792,5.8519,31020
2005-06-28,5.9183,5.9183,5.9183,5.9183,20687
2005-06-29,5.9514,5.9847,5.9514,5.9514,6866
2005-06-30,5.8851,6.0181,5.8851,5.9183,9218
2005-07-01,5.9183,6.1113,5.9183,6.1113,12908
2005-07-04,6.0846,6.1113,6.0846,6.1113,7334
2005-07-05,6.1113,6.2775,6.1113,6.2109,78883
2005-07-06,6.1776,6.2441,6.1776,6.2109,53056
2005-07-07,6.1113,6.2109,6.1113,6.2109,17586
2005-07-08,6.2109,6.2441,6.2109,6.2109,70065
2005-07-11,6.1113,6.1113,6.1113,6.1113,5176
2005-07-12,6.1113,6.1776,6.1113,6.1113,6474
2005-07-13,6.1776,6.1776,6.1113,6.1444,5025
2005-07-14,6.1776,6.1776,6.1444,6.1776,44438
2005-07-15,6.1776,6.2109,6.1776,6.2109,8075
2005-07-18,6.2109,6.2109,6.1444,6.2109,57103
2005-07-19,6.1444,6.2109,6.1113,6.1776,8797
2005-07-20,6.2109,6.2441,6.1776,6.2109,12401
2005-07-21,6.2109,6.2775,6.1113,6.2775,116813
2005-07-22,6.2775,6.3107,6.2109,6.2109,19162
2005-07-25,6.2441,6.2441,6.2441,6.2441,5391
2005-07-26,6.2441,6.2441,6.2109,6.2109,56496
2005-07-27,6.2109,6.3107,6.2109,6.3107,83713
2005-07-28,6.2441,6.2441,6.2109,6.2109,19894
2005-07-29,6.2775,6.2775,6.2441,6.2441,405
2005-08-01,6.2775,6.2775,6.1444,6.2109,2877
2005-08-02,6.1776,6.2441,6.1776,6.2441,846
2005-08-03,6.2441,6.2775,6.1444,6.2775,2020
2005-08-04,6.1444,6.2441,6.1444,6.2441,651
2005-08-05,6.2109,6.2775,6.2109,6.2775,16153
2005-08-08,6.2775,6.2775,6.2109,6.2775,1819
2005-08-09,6.2109,6.2109,6.2109,6.2109,1294
2005-08-10,6.2109,6.2109,6.2109,6.2109,1369
2005-08-11,6.2109,6.2109,6.2109,6.2109,6453
2005-08-12,6.2109,6.2109,6.2109,6.2109,51259
2005-08-16,6.2109,6.2441,6.2109,6.2441,6268
2005-08-17,6.2441,6.4036,6.2441,6.4036,113829
2005-08-18,6.437,6.7295,6.437,6.5035,76310
2005-08-19,6.6363,6.6963,6.5367,6.6697,10820
2005-08-22,6.6697,7.2881,6.6697,7.2881,110647
2005-08-23,7.2881,7.2881,6.9624,6.9889,26485
2005-08-24,6.8958,6.9889,6.8626,6.8958,18401
2005-08-25,6.8626,6.9889,6.8293,6.929,8522
2005-08-26,6.8293,6.9624,6.8293,6.8626,5877
2005-08-29,6.57,6.8958,6.57,6.8293,24371
2005-08-30,6.8626,6.929,6.8293,6.8958,14770
2005-08-31,6.8958,6.929,6.8293,6.8293,51353
2005-09-01,6.8293,6.8626,6.6032,6.8626,70800
2005-09-02,6.7295,6.8626,6.6963,6.6963,18363
2005-09-05,6.6963,6.9624,6.6963,6.8958,92150
2005-09-06,6.8958,6.8958,6.6697,6.6697,54806
2005-09-07,6.8293,6.8958,6.6032,6.8626,35983
2005-09-08,6.8958,6.9624,6.8293,6.8293,22166
2005-09-09,6.8293,6.8958,6.796,6.796,4897
2005-09-12,6.8293,6.9624,6.7295,6.8958,4533
2005-09-13,6.8958,6.8958,6.8293,6.8626,8304
2005-09-14,6.8293,6.8958,6.8293,6.8958,2644
2005-09-15,6.7295,6.8958,6.7295,6.8958,11741
2005-09-16,6.8958,6.8958,6.8626,6.8958,3400
2005-09-19,6.8293,7.0222,6.8293,7.0222,77821
2005-09-20,6.9889,6.9889,6.9624,6.9624,2168
2005-09-21,6.8293,6.929,6.8293,6.929,3253
2005-09-22,6.8293,6.8958,6.8293,6.8958,3182
2005-09-23,6.8293,6.8958,6.6963,6.8293,208904
2005-09-26,6.7628,6.8958,6.7628,6.8958,73056
2005-09-27,6.8293,6.8293,6.6032,6.6697,100025
2005-09-28,6.6963,6.6963,6.6363,6.6363,31713
2005-09-29,6.6363,6.6363,6.57,6.57,1093
2005-09-30,6.57,6.6032,6.5367,6.6032,2466
2005-10-03,6.57,6.57,6.3771,6.57,161158
2005-10-04,6.5035,6.5367,6.437,6.5035,13173
2005-10-05,6.4702,6.5035,6.4702,6.5035,8697
2005-10-06,6.437,6.437,6.437,6.437,1103
2005-10-07,6.3771,6.4036,6.3771,6.3771,18136
2005-10-10,6.3771,6.437,6.3771,6.437,17074
2005-10-11,6.3437,6.437,6.3437,6.437,3975
2005-10-12,6.437,6.437,6.3107,6.3107,405
2005-10-13,6.3437,6.3437,6.3437,6.3437,557
2005-10-14,6.3107,6.3771,6.3107,6.3771,925
2005-10-17,6.1113,6.4036,6.1113,6.4036,766
2005-10-19,5.9514,6.4036,5.9514,6.4036,3501
2005-10-20,6.2109,6.4036,6.2109,6.4036,2396
