Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1997-09-08,52.202,52.202,52.202,52.202,158289
1997-09-09,53.833,53.833,53.833,53.833,95406
1997-09-10,55.464,55.464,55.464,55.464,46588
1997-09-11,54.242,54.242,54.242,54.242,64315
1997-09-12,53.426,53.426,53.426,53.426,41062
1997-09-15,53.426,53.426,53.426,53.426,155024
1997-09-16,55.873,55.873,55.873,55.873,39095
1997-09-17,55.873,55.873,55.873,55.873,54129
1997-09-18,56.281,56.281,56.281,56.281,54966
1997-09-19,56.281,56.281,56.281,56.281,174592
1997-09-22,57.097,57.097,57.097,57.097,43532
1997-09-23,57.097,57.097,57.097,57.097,16508
1997-09-24,55.464,55.464,55.464,55.464,13800
1997-09-25,55.464,55.464,55.464,55.464,45342
1997-09-26,55.873,55.873,55.873,55.873,102149
1997-09-29,55.464,55.464,55.464,55.464,9356
1997-09-30,56.281,56.281,56.281,56.281,34802
1997-10-01,56.281,56.281,56.281,56.281,23914
1997-10-02,57.097,57.097,57.097,57.097,11762
1997-10-03,54.242,54.242,54.242,54.242,6426
1997-10-06,54.649,54.649,54.649,54.649,32580
1997-10-07,55.464,55.464,55.464,55.464,33642
1997-10-08,56.688,56.688,56.688,56.688,29281
1997-10-09,57.097,57.097,57.097,57.097,57013
1997-10-10,57.504,57.504,57.504,57.504,61552
1997-10-13,59.135,59.135,59.135,59.135,34144
1997-10-14,61.99,61.99,61.99,61.99,37100
1997-10-15,62.806,62.806,62.806,62.806,32511
1997-10-16,62.806,62.806,62.806,62.806,75550
1997-10-17,61.583,61.583,61.583,61.583,24631
1997-10-20,61.99,61.99,61.99,61.99,78272
1997-10-21,61.99,61.99,61.99,61.99,62015
1997-10-22,62.806,62.806,62.806,62.806,28954
1997-10-23,61.99,61.99,61.99,61.99,10460
1997-10-24,59.543,59.543,59.543,59.543,14420
1997-10-27,56.688,56.688,56.688,56.688,15466
1997-10-28,51.388,51.388,51.388,51.388
1997-10-29,56.281,56.281,56.281,56.281,57851
1997-10-30,54.649,54.649,54.649,54.649,53585
1997-10-31,53.426,53.426,53.426,53.426,13235
1997-11-03,55.057,55.057,55.057,55.057,6092
1997-11-04,56.281,56.281,56.281,56.281,20769
1997-11-05,57.097,57.097,57.097,57.097,11818
1997-11-06,55.873,55.873,55.873,55.873,9567
1997-11-07,56.281,56.281,56.281,56.281,27456
1997-11-12,55.464,55.464,55.464,55.464,83381
1997-11-13,54.649,54.649,54.649,54.649,23692
1997-11-14,53.833,53.833,53.833,53.833,19121
1997-11-17,55.057,55.057,55.057,55.057,22795
1997-11-18,55.873,55.873,55.873,55.873,29878
1997-11-19,55.464,55.464,55.464,55.464,63422
1997-11-20,55.464,55.464,55.464,55.464,29764
1997-11-21,55.057,55.057,55.057,55.057,28777
1997-11-24,53.833,53.833,53.833,53.833,10754
1997-11-25,52.202,52.202,52.202,52.202,16350
1997-11-26,52.609,52.609,52.609,52.609,6921
1997-11-27,51.388,51.388,51.388,51.388,6394
1997-11-28,50.571,50.571,50.571,50.571,5393
1997-12-01,51.794,51.794,51.794,51.794,2784
1997-12-02,51.794,51.794,51.794,51.794,44738
1997-12-03,51.794,51.794,51.794,51.794,11327
1997-12-04,50.164,50.164,50.164,50.164,26640
1997-12-05,51.388,51.388,51.388,51.388,20565
1997-12-08,50.979,50.979,50.979,50.979,23196
1997-12-09,50.571,50.571,50.571,50.571,20323
1997-12-10,50.164,50.164,50.164,50.164,4062
1997-12-11,49.347,49.347,49.347,49.347,31271
1997-12-12,49.347,49.347,49.347,49.347,12636
1997-12-15,50.571,50.571,50.571,50.571,17479
1997-12-16,50.979,50.979,50.979,50.979,26625
1997-12-17,50.164,50.164,50.164,50.164,36748
1997-12-18,50.164,50.164,50.164,50.164,43523
1997-12-19,48.532,48.532,48.532,48.532,32233
1997-12-22,46.493,46.493,46.493,46.493,7356
1997-12-23,46.493,46.493,46.493,46.493,10178
1997-12-29,45.678,45.678,45.678,45.678,3159
1997-12-30,46.9,46.9,46.9,46.9,31549
1997-12-31,48.939,48.939,48.939,48.939,3586
1998-01-05,51.388,51.388,51.388,51.388,9674
1998-01-06,51.388,51.388,51.388,51.388,25590
1998-01-07,51.388,51.388,51.388,51.388,31760
1998-01-08,50.979,50.979,50.979,50.979,32690
1998-01-09,49.754,49.754,49.754,49.754,2085
1998-01-12,46.085,46.085,46.085,46.085,10149
1998-01-13,48.123,48.123,48.123,48.123,6955
1998-01-14,47.715,47.715,47.715,47.715,14979
1998-01-15,47.309,47.309,47.309,47.309,2824
1998-01-16,47.309,47.715,46.493,46.493,15383
1998-01-19,46.9,46.9,46.493,46.493,5973
1998-01-20,47.715,47.715,46.493,46.493,12764
1998-01-21,46.493,46.493,46.493,46.493,2791
1998-01-22,45.678,46.085,45.678,46.085,3564
1998-01-23,44.86,46.493,44.86,46.493,10743
1998-01-26,46.9,46.9,45.269,45.269,2757
1998-01-27,46.9,46.9,46.9,46.9,3994
1998-01-28,47.309,48.939,47.309,48.939,11308
1998-01-29,46.9,48.123,46.493,47.309,8330
1998-01-30,47.715,47.715,47.715,47.715,11926
1998-02-02,48.939,50.979,48.939,50.571,6599
1998-02-03,51.388,51.388,50.571,50.571,22561
1998-02-04,51.388,51.388,50.571,50.571,14194
1998-02-05,50.571,52.609,50.571,52.609,2940
1998-02-06,52.609,54.649,52.609,53.833,36532
1998-02-09,54.242,54.649,54.242,54.649,6818
1998-02-10,54.242,54.649,54.242,54.242,18803
1998-02-11,54.649,55.057,54.242,54.242,9843
1998-02-12,54.649,54.649,52.202,52.202,5723
1998-02-13,52.609,52.609,52.609,52.609,8070
1998-02-16,53.018,53.018,52.609,52.609,3640
1998-02-17,53.018,53.018,53.018,53.018,8318
1998-02-18,52.609,53.018,52.609,53.018,9464
1998-02-19,53.426,54.242,53.018,54.242,15805
1998-02-20,52.609,52.609,47.715,51.388,14391
1998-02-23,49.754,51.388,49.754,51.388,29230
1998-02-24,48.939,48.939,47.715,47.715,20962
1998-02-25,49.754,49.754,48.939,48.939,24900
1998-02-26,50.571,50.571,49.347,49.347,25712
1998-02-27,50.979,50.979,50.164,50.571,24561
1998-03-02,51.388,53.426,50.979,52.609,38196
1998-03-03,51.388,51.388,49.754,49.754,35115
1998-03-04,50.571,50.571,48.939,48.939,18627
1998-03-05,50.571,50.571,50.164,50.164,33160
1998-03-06,49.754,50.979,49.754,50.571,26989
1998-03-09,51.388,53.426,51.388,52.609,24800
1998-03-10,52.202,55.464,52.202,55.057,38683
1998-03-11,57.097,57.912,55.464,56.688,73704
1998-03-12,56.688,58.727,56.688,58.727,41753
1998-03-13,60.359,60.359,58.727,59.543,45654
1998-03-16,60.359,60.359,58.727,59.135,30901
1998-03-17,60.359,60.359,57.097,57.097,14357
1998-03-18,59.135,59.135,57.912,58.319,25019
1998-03-19,57.912,57.912,56.281,56.281,11759
1998-03-20,57.097,57.097,55.873,56.281,34823
1998-03-23,55.873,55.873,54.649,54.649,8764
1998-03-24,54.649,54.649,53.833,53.833,18793
1998-03-25,53.833,54.649,53.833,53.833,22364
1998-03-26,53.426,53.426,52.609,53.018,22013
1998-03-27,52.609,52.609,51.794,52.202,17191
1998-03-30,52.202,52.202,52.202,52.202,17456
1998-03-31,52.609,53.018,52.609,52.609,22508
1998-04-01,53.833,53.833,53.018,53.018,14695
1998-04-02,52.609,53.018,52.609,53.018,4146
1998-04-06,53.018,53.426,52.202,53.426,18658
1998-04-07,53.018,53.018,51.794,51.794,9056
1998-04-08,52.609,52.609,51.388,51.388,8886
1998-04-09,50.571,50.979,50.571,50.979,9350
