Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2014-07-17,32.142,32.501,31.303,32.326,125520
2014-07-18,32.372,32.556,32.233,32.556,23945
2014-07-21,32.501,32.676,32.418,32.51,21470
2014-07-22,32.602,32.602,32.05,32.05,12467
2014-07-23,32.142,32.233,32.142,32.233,601
2014-07-24,32.464,32.464,30.392,31.414,4745
2014-07-25,31.506,31.681,31.506,31.681,3802
2014-07-28,32.05,32.418,31.774,32.418,6497
2014-07-29,32.418,32.418,32.233,32.4,2219
2014-07-30,32.409,32.409,31.865,32.233,3192
2014-07-31,32.004,32.28,32.004,32.233,35995
2014-08-01,32.233,32.233,31.313,31.313,2965
2014-08-04,31.681,32.233,31.313,31.313,6332
2014-08-05,31.322,31.718,31.322,31.718,3096
2014-08-06,31.709,32.215,31.322,32.215,1691
2014-08-07,31.774,32.233,31.313,31.774,6081
2014-08-08,31.774,32.05,31.433,32.05,1669
2014-08-11,31.681,32.05,31.681,32.05,4431
2014-08-12,32.05,32.095,31.782,32.05,9800
2014-08-13,31.865,32.05,31.865,32.05,4045
2014-08-14,31.497,32.05,31.423,32.04,4756
2014-08-18,32.04,32.05,32.04,32.05,74222
2014-08-19,32.05,32.05,31.506,32.05,8943
2014-08-20,32.05,32.114,31.699,32.05,58542
2014-08-21,32.225,33.45,32.059,33.293,133063
2014-08-22,33.385,33.846,33.348,33.348,22683
2014-08-25,33.569,33.569,33.044,33.155,4704
2014-08-26,33.007,33.799,33.007,33.799,21374
2014-08-27,33.827,34.813,33.827,34.711,42789
2014-08-28,34.813,35.448,33.624,34.343,21447
2014-08-29,34.325,35.273,33.892,34.721,17618
2014-09-01,34.813,35.356,34.721,34.987,32489
2014-09-02,35.273,36.378,34.987,36.378,83927
2014-09-03,36.701,37.76,36.563,36.931,70292
2014-09-04,36.931,36.931,36.194,36.746,27334
2014-09-05,36.746,37.713,36.663,37.53,37556
2014-09-08,37.207,37.511,37.207,37.483,15754
2014-09-09,37.437,37.437,36.746,36.839,5464
2014-09-10,36.655,36.655,36.102,36.378,10799
2014-09-11,36.102,36.461,36.102,36.387,63007
2014-09-12,36.425,37.437,36.415,37.437,8741
2014-09-15,37.483,37.483,36.746,37.29,24748
2014-09-16,37.29,37.29,36.793,36.912,13130
2014-09-17,36.912,37.207,36.839,37.197,9703
2014-09-18,37.197,37.299,37.032,37.097,14239
2014-09-19,37.115,37.53,37.115,37.392,58317
2014-09-22,37.392,37.76,37.392,37.557,9663
2014-09-23,37.345,37.345,36.848,36.996,18449
2014-09-24,36.996,36.996,36.884,36.884,6488
2014-09-25,36.931,37.299,36.839,36.977,19035
2014-09-26,36.884,36.931,36.839,36.921,7879
2014-09-29,36.839,37.023,36.839,37.023,1886
2014-09-30,36.848,37.483,36.839,37.483,8247
