Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2013-08-08,3.4011,3.5184,3.323,3.4207,5249
2013-08-09,3.4011,3.4011,3.1373,3.1373,677
2013-08-13,3.2058,3.2058,3.1373,3.1373,1389
2013-08-14,3.0395,3.0395,2.7366,3.0298,1355
2013-08-16,2.9321,3.1275,2.7463,3.1275,1474
2013-08-19,3.0395,3.0395,2.8342,2.8342,1769
2013-08-20,2.8832,3.1275,2.8342,2.8832,4736
2013-08-21,2.893,2.9125,2.8342,2.9125,2264
2013-08-22,3.0982,3.1959,3.0982,3.1959,1819
2013-08-23,3.1959,3.1959,3.1959,3.1959,103
2013-08-26,3.1959,3.1959,3.0298,3.0298,1927
2013-08-27,3.0298,3.0298,3.0298,3.0298,103
2013-08-28,2.8539,3.0298,2.8539,3.0298,103
2013-09-02,2.9809,2.9809,2.8342,2.8342,3421
2013-09-03,2.8539,2.8539,2.8539,2.8539,19133
2013-09-06,2.9809,2.9809,2.9809,2.9809,1244
2013-09-09,2.9907,2.9907,2.9907,2.9907,503
2013-09-11,2.9418,2.9418,2.9418,2.9418,205
2013-09-19,3.0298,3.0298,3.0298,3.0298,895
2013-09-23,3.0298,3.0298,3.0298,3.0298,205
2013-09-26,3.0298,3.0298,3.0298,3.0298,327
2013-10-01,2.8637,2.8637,2.8637,2.8637,297
2013-10-09,3.02,3.02,3.02,3.02,153
2013-10-10,3.0298,3.0298,2.8832,3.0298,307
2013-10-22,2.9809,2.9809,2.9321,2.9321,184
2013-10-23,2.8832,2.8832,2.8832,2.8832,103
2013-10-25,2.8832,2.8832,2.8637,2.8637,744
2013-10-30,2.8637,2.8637,2.8637,2.8637,50
2013-10-31,3.0298,3.0298,3.0298,3.0298,61
2013-11-04,3.0298,3.0298,3.0298,3.0298,50
2013-11-05,2.9321,2.9321,2.9321,2.9321,512
2013-11-07,2.9711,2.9711,2.9711,2.9711,103
2013-11-08,2.9321,2.9321,2.9321,2.9321,153
2013-11-13,2.9711,2.9711,2.9711,2.9711,50
2013-11-15,2.9711,2.9711,2.9711,2.9711,1944
2013-11-18,2.8832,2.8832,2.8832,2.8832,190
2013-11-19,2.9711,3.0298,2.9711,3.0298,3603
2013-11-20,3.0298,3.0298,2.9418,3.0298,4554
2013-11-21,3.0298,3.0298,3.0298,3.0298,1084
2013-11-22,2.9809,2.9809,2.8637,2.8637,5529
2013-11-25,2.9515,3.0298,2.9515,3.0298,22449
2013-11-26,3.0298,3.0298,2.9809,2.9809,4184
2013-11-27,3.02,3.02,3.02,3.02,4121
2013-11-29,3.02,3.0298,3.02,3.0298,1228
2013-12-02,3.0298,3.0298,3.0298,3.0298,2076
2013-12-03,3.0298,3.0298,3.0298,3.0298,15557
2013-12-05,2.9907,2.9907,2.9907,2.9907,716
2013-12-06,2.9907,2.9907,2.9907,2.9907,306
2013-12-09,2.9907,2.9907,2.9321,2.9907,4963
2013-12-10,2.9809,3.0298,2.9809,3.0103,7959
2013-12-11,2.9809,2.9809,2.9809,2.9809,205
2013-12-12,3.0298,3.0298,3.0298,3.0298,10231
2013-12-13,2.9809,2.9809,2.9321,2.9321,7029
2013-12-16,2.9418,2.9418,2.9418,2.9418,3203
2013-12-19,2.9907,2.9907,2.9321,2.9321,5730
2013-12-20,3.0103,3.0298,2.9515,2.9515,11733
2013-12-23,3.0298,3.0298,3.0298,3.0298,1131
2013-12-30,3.0298,3.0298,3.0298,3.0298,205
2014-01-03,3.1373,3.1568,3.0298,3.0298,19799
2014-01-07,3.0298,3.0298,3.0298,3.0298,1637
2014-01-08,3.0298,3.0298,3.0298,3.0298,3407
2014-01-09,3.0298,3.0298,3.0298,3.0298,13245
2014-01-13,3.1764,3.4207,3.1764,3.411,1682
2014-01-14,3.411,3.7921,3.411,3.7921,1214
2014-01-15,3.7139,3.7628,3.6651,3.7628,6343
2014-01-16,3.6357,3.7628,3.6163,3.7628,6223
2014-01-17,3.7139,3.7139,3.7139,3.7139,1024
2014-01-20,3.7139,3.7139,3.7139,3.7139,307
2014-01-21,3.7139,3.8605,3.7139,3.8605,13711
2014-01-22,3.7139,3.7139,3.7139,3.7139,615
2014-01-24,3.7139,3.7628,3.6651,3.7139,1545
2014-01-27,3.7139,3.7921,3.7139,3.7921,1131
2014-01-28,3.7139,3.7139,3.7139,3.7139,1024
2014-01-29,3.7139,3.7139,3.7139,3.7139,409
2014-01-31,3.7139,3.7139,3.7139,3.7139,1534
2014-02-03,3.6651,3.8117,3.6651,3.8117,5628
2014-02-04,3.8117,3.8117,3.8117,3.8117,10
2014-02-05,3.8605,3.8605,3.8605,3.8605,164
2014-02-06,3.8508,3.9094,3.8117,3.8898,4459
2014-02-07,3.8117,3.88,3.8117,3.88,1758
2014-02-10,3.88,4.0071,3.88,3.9094,22271
2014-02-11,3.9192,3.9583,3.9094,3.9583,30994
