Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-05-09,2.212,2.4265,2.1093,2.1466,201749
2008-05-12,2.1466,2.1466,2.1,2.1,16910
2008-05-13,2.1186,2.1279,2.0627,2.0627,16801
2008-05-14,2.0906,2.1466,2.0906,2.1466,21121
2008-05-15,2.1466,2.212,2.1466,2.1839,22635
2008-05-16,2.2212,2.2306,2.2026,2.2026,3472
2008-05-19,2.1932,2.1932,2.1932,2.1932,8533
2008-05-20,2.1932,2.1932,2.1932,2.1932,3642
2008-05-21,2.1932,2.1932,2.1932,2.1932,9405
2008-05-23,2.1932,2.1932,2.1652,2.1652,3268
2008-05-26,2.2306,2.2306,2.1839,2.1932,4127
2008-05-27,2.1932,2.1932,2.1932,2.1932,8572
2008-05-28,2.1932,2.212,2.1932,2.2026,6252
2008-05-29,2.2026,2.212,2.2026,2.2026,12080
2008-05-30,2.1932,2.2026,2.1932,2.2026,10970
2008-06-02,2.2026,2.2026,2.2026,2.2026,535
2008-06-03,2.2026,2.2212,2.2026,2.2026,4087
2008-06-04,2.2026,2.2026,2.1932,2.1932,19328
2008-06-05,2.212,2.212,2.1932,2.212,8036
2008-06-06,2.212,2.2212,2.1466,2.2212,6359
2008-06-09,2.2399,2.2399,2.2399,2.2399,20
2008-06-10,2.2493,2.2493,2.2493,2.2493,201
2008-06-11,2.2493,2.2493,2.212,2.2212,1225
2008-06-12,2.2212,2.2212,2.2212,2.2212,42
2008-06-13,2.2306,2.2306,2.2306,2.2306,493
2008-06-16,2.2306,2.2493,2.2306,2.2399,633
2008-06-17,2.2399,2.2399,2.2306,2.2306,907
2008-06-18,2.2306,2.2306,2.2306,2.2306,1032
2008-06-19,2.212,2.212,2.212,2.212,5900
2008-06-20,2.212,2.212,2.212,2.212,10
2008-06-23,2.212,2.212,2.212,2.212,4396
2008-06-24,2.212,2.212,2.212,2.212,225
2008-06-25,2.212,2.212,2.212,2.212,10
2008-06-26,2.212,2.212,2.212,2.212,1071
2008-06-27,2.212,2.212,2.212,2.212,118
2008-06-30,2.212,2.2493,2.212,2.2493,3519
2008-07-01,2.2493,2.2586,2.2493,2.2586,4541
2008-07-02,2.2773,2.3426,2.2773,2.3426,12506
2008-07-03,2.3426,2.3426,2.2865,2.2865,1177
2008-07-04,2.2865,2.2865,2.2212,2.2212,3750
2008-07-08,2.2306,2.2306,2.212,2.212,4462
