Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1997-10-14,6.5,6.5,6.5,6.5,180148
1997-10-15,7.05,7.05,7.05,7.05,417464
1997-10-16,6.35,6.35,6.35,6.35,178863
1997-10-17,5.75,5.75,5.75,5.75,170508
1997-10-20,5.2,5.2,5.2,5.2
1997-10-21,4.7,4.7,4.7,4.7,73966
1997-10-22,4.7,4.7,4.7,4.7,382557
1997-10-23,5.05,5.05,5.05,5.05,451474
1997-10-24,4.55,4.55,4.55,4.55,307319
1997-10-27,4.15,4.15,4.15,4.15,153321
1997-10-28,3.75,3.75,3.75,3.75
1997-10-29,4.1,4.1,4.1,4.1
1997-10-30,3.95,3.95,3.95,3.95,146367
1997-10-31,4.2,4.2,4.2,4.2,60746
1997-11-03,4.6,4.6,4.6,4.6,137439
1997-11-04,4.55,4.55,4.55,4.55,101375
1997-11-05,4.6,4.6,4.6,4.6,58124
1997-11-06,4.6,4.6,4.6,4.6,26241
1997-11-07,4.5,4.5,4.5,4.5,81326
1997-11-12,4.5,4.5,4.5,4.5,52965
1997-11-13,4.5,4.5,4.5,4.5,123954
1997-11-14,4.9,4.9,4.9,4.9,105519
1997-11-17,5.1,5.1,5.1,5.1,114437
1997-11-18,5.2,5.2,5.2,5.2,110779
1997-11-19,4.7,4.7,4.7,4.7,120904
1997-11-20,4.85,4.85,4.85,4.85,75838
1997-11-21,4.9,4.9,4.9,4.9,88540
1997-11-24,4.7,4.7,4.7,4.7,118750
1997-11-25,4.7,4.7,4.7,4.7,79525
1997-11-26,4.9,4.9,4.9,4.9,46790
1997-11-27,4.7,4.7,4.7,4.7,148043
1997-11-28,4.95,4.95,4.95,4.95,172324
1997-12-01,5.15,5.15,5.15,5.15,146834
1997-12-02,5.15,5.15,5.15,5.15,166604
1997-12-03,5.1,5.1,5.1,5.1,100929
1997-12-04,5.2,5.2,5.2,5.2,136477
1997-12-05,5.3,5.3,5.3,5.3,97772
1997-12-08,5.2,5.2,5.2,5.2,97697
1997-12-09,5.3,5.3,5.3,5.3,111738
1997-12-10,5.35,5.35,5.35,5.35,82619
1997-12-11,5.3,5.3,5.3,5.3,95756
1997-12-12,5.5,5.5,5.5,5.5,96990
1997-12-15,6,6,6,6,143645
1997-12-16,6.4,6.4,6.4,6.4,271116
1997-12-17,6.2,6.2,6.2,6.2,154908
1997-12-18,6.2,6.2,6.2,6.2,93210
1997-12-19,6.15,6.15,6.15,6.15,147167
1997-12-22,6.3,6.3,6.3,6.3,124377
1997-12-23,6.8,6.8,6.8,6.8,109670
1997-12-29,6.8,6.8,6.8,6.8,132678
1997-12-30,6.55,6.55,6.55,6.55,175137
1997-12-31,6.6,6.6,6.6,6.6,117789
1998-01-05,6.6,6.6,6.6,6.6,99007
1998-01-06,6.85,6.85,6.85,6.85,137294
1998-01-07,6.7,6.7,6.7,6.7,87220
1998-01-08,6.75,6.75,6.75,6.75,104678
1998-01-09,6.1,6.1,6.1,6.1,142359
1998-01-12,5.5,5.5,5.5,5.5,78336
1998-01-13,5.45,5.45,5.45,5.45,133785
