Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2009-05-25,6.4698,6.4698,5.9103,6.0006,244288
2009-05-26,6.2261,6.2261,5.6215,5.7569,47707
2009-05-27,5.766,5.766,5.3238,5.4141,38829
2009-05-28,5.4231,5.4231,5.2245,5.2787,20359
2009-05-29,5.2335,5.5945,5.0981,5.4412,35967
2009-06-01,5.6306,5.6306,5.4141,5.5223,8772
2009-06-02,5.4141,5.5855,5.3418,5.5674,24601
2009-06-03,5.5494,5.5494,5.4141,5.4952,3774
2009-06-04,5.4952,5.6215,5.4682,5.4682,6922
2009-06-05,5.4682,5.5223,5.4412,5.5223,1470
2009-06-08,5.5132,5.5494,5.4141,5.5223,6387
2009-06-09,5.5223,5.5223,5.4321,5.5042,2027
2009-06-10,5.5042,5.6125,5.5042,5.5494,7689
2009-06-12,5.5403,5.6035,5.5313,5.5313,2636
2009-06-15,5.4862,5.6396,5.4862,5.6396,1067
2009-06-16,5.4862,5.5945,5.4592,5.5945,1950
2009-06-17,5.5765,5.6035,5.5494,5.5494,7571
2009-06-18,5.4862,5.5674,5.4862,5.5674,324
2009-06-19,5.4862,5.5945,5.4772,5.5042,3281
2009-06-22,5.4501,5.5494,5.3418,5.4141,11119
2009-06-23,5.4141,5.4772,5.3418,5.4772,397
2009-06-24,5.5494,5.5494,5.5403,5.5494,4434
2009-06-25,5.5674,5.5674,5.4141,5.4141,2080
2009-06-26,5.5223,5.5223,5.4141,5.4141,194
2009-06-29,5.4772,5.4772,5.4772,5.4772,223
2009-06-30,5.4321,5.4321,5.4321,5.4321,777
2009-07-01,5.351,5.4682,5.2516,5.4141,4662
2009-07-02,5.4682,5.5042,5.3238,5.3238,11840
2009-07-03,5.396,5.396,5.396,5.396,332
2009-07-06,5.4141,5.4141,5.4141,5.4141,1662
2009-07-07,5.369,5.4141,5.369,5.4141,730
2009-07-09,5.3058,5.405,5.2335,5.2335,9702
2009-07-10,5.2335,5.405,5.2335,5.405,2530
2009-07-13,5.405,5.405,5.2335,5.405,1401
2009-07-15,5.405,5.405,5.1614,5.3238,1975
2009-07-16,5.36,5.36,5.2787,5.36,3855
2009-07-17,5.2877,5.405,5.2877,5.405,462
2009-07-20,5.2426,5.2426,5.2426,5.2426,1448
2009-07-21,5.3058,5.405,5.3058,5.3147,2796
2009-07-22,5.3147,5.4952,5.3147,5.4952,462
2009-07-23,5.4592,5.4772,5.4592,5.4592,2217
2009-07-24,5.4952,5.5583,5.4592,5.4592,4062
2009-07-27,5.4952,5.4952,5.378,5.378,2024
2009-07-28,5.378,5.4231,5.378,5.4231,208
2009-07-29,5.378,5.4141,5.369,5.378,1858
2009-07-30,5.4501,5.4862,5.378,5.387,7379
2009-07-31,5.4592,5.4592,5.396,5.4141,3353
2009-08-03,5.4141,5.4592,5.396,5.4501,1264
2009-08-04,5.4231,5.4412,5.4141,5.4231,5588
2009-08-05,5.4231,5.4592,5.387,5.4412,9931
2009-08-06,5.4412,5.4412,5.3329,5.4141,907
2009-08-07,5.4682,5.4682,5.2335,5.4231,7303
2009-08-10,5.405,5.405,5.2787,5.2787,1080
2009-08-11,5.2967,5.2967,5.2787,5.2787,720
2009-08-12,5.2426,5.7299,5.2335,5.6937,37891
2009-08-13,5.748,5.9013,5.6937,5.8381,22036
2009-08-14,5.8381,5.9464,5.784,5.9284,7853
2009-08-17,5.8201,5.9464,5.5583,5.9284,15478
2009-08-18,5.9464,6.2081,5.9464,6.181,23417
2009-08-19,6.1901,6.4969,6.0096,6.4969,24073
2009-08-20,6.3254,6.9841,6.3254,6.9841,15708
2009-08-21,6.7134,7.1465,6.4066,7.1465,13590
2009-08-24,7.2097,7.8684,7.0923,7.7601,27141
2009-08-25,7.706,7.8413,7.2187,7.6699,25592
2009-08-26,7.6247,7.6247,6.9932,7.5798,16518
2009-08-27,7.5526,7.6247,7.318,7.5798,8624
2009-08-28,7.5798,7.9405,7.5798,7.6699,16467
2009-08-31,7.1285,7.3089,6.903,7.2187,18768
2009-09-01,6.912,7.2187,6.7134,7.1826,8643
2009-09-02,6.7224,6.7224,6.515,6.515,2712
2009-09-03,6.4517,6.7585,6.0006,6.0006,14630
2009-09-04,6.0096,6.6321,6.0096,6.6231,1280
2009-09-07,6.6772,6.6772,6.3344,6.6772,390
2009-09-08,6.587,6.587,6.136,6.4066,691
2009-09-09,6.1991,6.4787,6.0457,6.4698,10485
2009-09-10,6.2713,6.2713,6.0186,6.2713,2250
2009-09-14,6.4337,6.4337,6.4337,6.4337,10
2009-09-15,6.0096,6.4878,5.9554,6.4878,217
2009-09-16,6.136,6.4337,6.0636,6.3074,8554
2009-09-17,6.3164,6.3164,6.3164,6.3164,156
2009-09-18,6.0006,6.136,5.7299,6.0907,1286
2009-09-21,6.0907,6.0907,6.0907,6.0907,2252
2009-09-22,6.0457,6.2171,5.8651,5.8651,1939
2009-09-23,5.9103,6.0817,5.8651,6.0817,774
2009-09-24,6.0907,6.136,5.8201,6.0457,2279
2009-09-28,5.8651,5.8651,5.8562,5.8562,919
2009-09-29,5.8651,5.8651,5.8651,5.8651,2483
2009-09-30,5.8651,5.8651,5.4231,5.8471,6813
2009-10-01,5.4772,5.775,5.4772,5.775,6745
2009-10-02,5.4862,5.4862,5.4862,5.4862,2217
2009-10-05,5.4231,5.4231,5.4141,5.4141,2494
2009-10-06,5.4592,5.6757,5.4231,5.6757,4210
2009-10-07,5.4321,5.6667,5.405,5.6667,2345
2009-10-08,5.4862,5.6396,5.4141,5.4231,1927
2009-10-09,5.4412,5.4412,5.4231,5.4231,2438
2009-10-12,5.4231,5.4592,5.4231,5.4231,2366
2009-10-13,5.4321,5.4321,5.4141,5.4231,704
2009-10-14,5.4321,5.4321,5.4231,5.4231,2217
2009-10-15,5.4141,5.4231,5.0531,5.4141,3903
2009-10-16,5.4141,5.6667,5.4141,5.6035,16191
2009-10-19,5.6035,5.766,5.5945,5.6577,5939
2009-10-20,5.5494,5.6577,5.5494,5.6577,1720
2009-10-21,5.5583,5.5583,5.5042,5.5042,512
2009-10-22,5.5042,5.5403,5.5042,5.5403,277
2009-10-23,5.5583,5.5583,5.5494,5.5494,1008
2009-10-26,5.5042,5.5042,5.5042,5.5042,1108
2009-10-27,5.4772,5.4772,5.4772,5.4772,417
2009-10-29,5.4772,5.5494,5.4772,5.5494,282
2009-10-30,5.5223,5.5223,5.5223,5.5223,241
2009-11-03,5.5494,5.6306,5.4141,5.5494,620
2009-11-05,5.4141,5.5494,5.4141,5.5494,319
2009-11-06,5.4321,5.4321,5.4321,5.4321,602
2009-11-09,5.5494,5.5494,5.4141,5.4141,1308
2009-11-10,5.4141,5.4321,5.369,5.369,1937
2009-11-12,5.4592,5.6847,5.4592,5.6847,3549
2009-11-13,5.5765,5.766,5.5313,5.748,2899
2009-11-16,5.766,5.766,5.766,5.766,1
2009-11-17,5.8201,6.3164,5.5674,5.8742,7486
2009-11-18,6.0907,6.0907,5.7027,5.739,3202
2009-11-19,5.775,5.775,5.6847,5.6847,387
2009-11-20,5.6847,5.8201,5.6485,5.8201,939
2009-11-24,5.8201,5.8201,5.8201,5.8201,113
2009-11-25,5.7299,5.775,5.7299,5.775,3343
2009-11-27,5.6035,5.7299,5.6035,5.7299,190
2009-11-30,5.6847,5.8201,5.5132,5.8201,3108
2009-12-01,6.1719,6.1719,5.8651,6.136,3991
2009-12-02,6.0006,6.1269,6.0006,6.1269,749
2009-12-03,5.9554,6.0457,5.9554,6.0366,1656
2009-12-04,6.1269,6.3164,6.0457,6.3164,9759
2009-12-07,6.3254,6.3254,6.154,6.3254,5006
2009-12-08,6.3164,6.3164,6.2171,6.2171,4225
2009-12-09,6.2261,6.524,6.136,6.515,1352
2009-12-10,6.3164,6.4878,6.3164,6.4787,4628
2009-12-11,6.3164,6.3164,6.3164,6.3164,1630
2009-12-14,6.3164,6.3164,6.3164,6.3164,1692
2009-12-15,6.3164,6.3164,6.1901,6.3164,2581
2009-12-16,6.3164,6.3164,6.3164,6.3164,710
2009-12-17,6.3164,6.3164,6.3164,6.3164,949
2009-12-18,6.4337,6.4337,6.1449,6.3164,556
2009-12-21,6.2983,6.3164,6.2261,6.2261,14477
2009-12-22,6.1449,6.1449,6.136,6.136,1108
