Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1997-04-24,1.8545,1.8545,1.8545,1.8545,1709794
1997-04-25,1.7781,1.7781,1.7781,1.7781,803366
1997-04-28,1.617,1.617,1.617,1.617,386533
1997-04-29,1.4867,1.4867,1.4867,1.4867,1595251
1997-04-30,1.571,1.571,1.571,1.571,676761
1997-05-05,1.5556,1.5556,1.5556,1.5556,1315907
1997-05-06,1.6555,1.6555,1.6555,1.6555,1601748
1997-05-07,1.6477,1.6477,1.6477,1.6477,796269
1997-05-08,1.7012,1.7012,1.7012,1.7012,707957
1997-05-09,1.7931,1.7931,1.7931,1.7931,689228
1997-05-12,1.8392,1.8392,1.8392,1.8392,953458
1997-05-13,1.8468,1.8468,1.8468,1.8468,647934
1997-05-14,1.732,1.732,1.732,1.732,338668
1997-05-15,1.7931,1.7931,1.7931,1.7931,311796
1997-05-16,1.7781,1.7781,1.7781,1.7781,254854
1997-05-19,1.8087,1.8087,1.8087,1.8087,208482
1997-05-20,1.8087,1.8087,1.8087,1.8087,125692
1997-05-21,1.7551,1.7551,1.7551,1.7551,365953
1997-05-22,1.732,1.732,1.732,1.732,404753
1997-05-23,1.5556,1.5556,1.5556,1.5556,346149
1997-05-26,1.571,1.571,1.571,1.571,297743
1997-05-27,1.5327,1.5327,1.5327,1.5327,359441
1997-05-28,1.5327,1.5327,1.5327,1.5327,287517
1997-05-30,1.6092,1.6092,1.6092,1.6092,214544
1997-06-02,1.5556,1.5556,1.5556,1.5556,114538
1997-06-03,1.5864,1.5864,1.5864,1.5864,239679
1997-06-04,1.5556,1.5556,1.5556,1.5556,334279
1997-06-05,1.5404,1.5404,1.5404,1.5404,214141
1997-06-06,1.571,1.571,1.571,1.571,93716
1997-06-09,1.6016,1.6016,1.6016,1.6016,122249
1997-06-10,1.5633,1.5633,1.5633,1.5633,271906
1997-06-11,1.5404,1.5404,1.5404,1.5404,129553
1997-06-12,1.6706,1.6706,1.6706,1.6706,389202
1997-06-13,1.709,1.709,1.709,1.709,413151
1997-06-16,1.6784,1.6784,1.6784,1.6784,141858
1997-06-17,1.6555,1.6555,1.6555,1.6555,127055
1997-06-18,1.6555,1.6555,1.6555,1.6555,481513
1997-06-19,1.6784,1.6784,1.6784,1.6784,820597
1997-06-20,1.732,1.732,1.732,1.732,377061
1997-06-23,1.6784,1.6784,1.6784,1.6784,238078
1997-06-24,1.6784,1.6784,1.6784,1.6784,456229
1997-06-25,1.7551,1.7551,1.7551,1.7551,453178
1997-06-26,1.732,1.732,1.732,1.732,952902
1997-06-27,1.7551,1.7551,1.7551,1.7551,378286
1997-06-30,1.7551,1.7551,1.7551,1.7551,266366
1997-07-01,1.7241,1.7241,1.7241,1.7241,188560
1997-07-02,1.7241,1.7241,1.7241,1.7241,145389
1997-07-03,1.7398,1.7398,1.7398,1.7398,199877
1997-07-04,1.8087,1.8087,1.8087,1.8087,290704
1997-07-07,1.8087,1.8087,1.8087,1.8087,226746
1997-07-08,1.8164,1.8164,1.8164,1.8164,73527
1997-07-09,1.8853,1.8853,1.8853,1.8853,206073
1997-07-10,1.8853,1.8853,1.8853,1.8853,853242
1997-07-11,1.8777,1.8777,1.8777,1.8777,714543
1997-07-14,1.8087,1.8087,1.8087,1.8087,192679
1997-07-15,1.6706,1.6706,1.6706,1.6706,234197
1997-07-16,1.7241,1.7241,1.7241,1.7241,245665
1997-07-17,1.732,1.732,1.732,1.732,170914
1997-07-18,1.7781,1.7781,1.7781,1.7781,372210
1997-07-21,1.7551,1.7551,1.7551,1.7551,188410
1997-07-22,1.7551,1.7551,1.7551,1.7551,71148
1997-07-23,1.7625,1.7625,1.7625,1.7625,147604
1997-07-24,1.7625,1.7625,1.7625,1.7625,193876
1997-07-25,1.7625,1.7625,1.7625,1.7625,227375
1997-07-28,1.7241,1.7241,1.7241,1.7241,114405
1997-07-29,1.6784,1.6784,1.6784,1.6784,453235
1997-07-30,1.732,1.732,1.732,1.732,122999
1997-07-31,1.7857,1.7857,1.7857,1.7857,284688
1997-08-01,1.7781,1.7781,1.7781,1.7781,307349
1997-08-04,1.8316,1.8316,1.8316,1.8316,92312
1997-08-05,1.8777,1.8777,1.8777,1.8777,157425
1997-08-06,1.9158,1.9158,1.9158,1.9158,315958
1997-08-07,1.9081,1.9081,1.9081,1.9081,249108
1997-08-08,1.9618,1.9618,1.9618,1.9618,275861
1997-08-11,2.1534,2.1534,2.1534,2.1534,949416
1997-08-12,2.1306,2.1306,2.1306,2.1306,118880
1997-08-13,2.0845,2.0845,2.0845,2.0845,103927
1997-08-14,2.0768,2.0768,2.0768,2.0768,257925
1997-08-18,2.0845,2.0845,2.0845,2.0845,158981
1997-08-19,2.0309,2.0309,2.0309,2.0309,206789
1997-08-20,2.0078,2.0078,2.0078,2.0078,65221
1997-08-21,1.9312,1.9312,1.9312,1.9312,149267
1997-08-22,1.8777,1.8777,1.8777,1.8777,301815
1997-08-25,1.8777,1.8777,1.8777,1.8777,173216
1997-08-26,1.8545,1.8545,1.8545,1.8545,220233
1997-08-27,1.9081,1.9081,1.9081,1.9081,172245
1997-08-28,1.9618,1.9618,1.9618,1.9618,265632
1997-08-29,1.9389,1.9389,1.9389,1.9389,380744
1997-09-01,1.8777,1.8777,1.8777,1.8777,42288
1997-09-02,1.9235,1.9235,1.9235,1.9235,62479
1997-09-03,2.0003,2.0003,2.0003,2.0003,189833
1997-09-04,2.0309,2.0309,2.0309,2.0309,89168
1997-09-05,1.9771,1.9771,1.9771,1.9771,131110
1997-09-08,2.0537,2.0537,2.0537,2.0537,129810
1997-09-09,2.0768,2.0768,2.0768,2.0768,277471
1997-09-10,2.0537,2.0537,2.0537,2.0537,154206
1997-09-11,1.9771,1.9771,1.9771,1.9771,122277
1997-09-12,1.9696,1.9696,1.9696,1.9696,228450
1997-09-15,1.9926,1.9926,1.9926,1.9926,71342
1997-09-16,1.9389,1.9389,1.9389,1.9389,56060
1997-09-17,1.9696,1.9696,1.9696,1.9696,100411
1997-09-18,1.9081,1.9081,1.9081,1.9081,48360
1997-09-19,1.9541,1.9541,1.9541,1.9541,37781
1997-09-22,2.0232,2.0232,2.0232,2.0232,101100
1997-09-23,1.8239,1.8239,1.8239,1.8239,425378
1997-09-24,1.9158,1.9158,1.9158,1.9158,266189
1997-09-25,1.8777,1.8777,1.8777,1.8777,75995
1997-09-26,1.8316,1.8316,1.8316,1.8316,41446
1997-09-29,1.8468,1.8468,1.8468,1.8468,44370
1997-09-30,1.8545,1.8545,1.8545,1.8545,84590
1997-10-01,1.8545,1.8545,1.8545,1.8545,141917
1997-10-02,1.8777,1.8777,1.8777,1.8777,29638
1997-10-03,1.8777,1.8777,1.8777,1.8777,119166
1997-10-06,1.8777,1.8777,1.8777,1.8777,107385
1997-10-07,1.8699,1.8699,1.8699,1.8699,48303
1997-10-08,1.8853,1.8853,1.8853,1.8853,124166
1997-10-09,1.9312,1.9312,1.9312,1.9312,88044
1997-10-10,1.9771,1.9771,1.9771,1.9771,116156
1997-10-13,1.9926,1.9926,1.9926,1.9926,87162
1997-10-14,2.0309,2.0309,2.0309,2.0309,167947
1997-10-15,2.0691,2.0691,2.0691,2.0691,220624
1997-10-16,2.0462,2.0462,2.0462,2.0462,50788
1997-10-17,2.0309,2.0309,2.0309,2.0309,89440
1997-10-20,2.0232,2.0232,2.0232,2.0232,57030
1997-10-21,2.0768,2.0768,2.0768,2.0768,50069
1997-10-22,2.0768,2.0768,2.0768,2.0768,101995
1997-10-23,2.0232,2.0232,2.0232,2.0232,63588
1997-10-24,2.0003,2.0003,2.0003,2.0003,181165
1997-10-27,1.9081,1.9081,1.9081,1.9081,139538
1997-10-28,1.7167,1.7167,1.7167,1.7167
1997-10-29,1.8853,1.8853,1.8853,1.8853,248436
1997-10-30,1.8545,1.8545,1.8545,1.8545,120305
1997-10-31,1.8621,1.8621,1.8621,1.8621,101370
1997-11-03,1.8777,1.8777,1.8777,1.8777,215442
1997-11-04,1.8777,1.8777,1.8777,1.8777,137039
1997-11-05,1.9005,1.9005,1.9005,1.9005,40234
1997-11-06,1.7703,1.7703,1.7703,1.7703,92146
1997-11-07,1.7703,1.7703,1.7703,1.7703,88763
1997-11-12,1.732,1.732,1.732,1.732,124374
1997-11-13,1.7241,1.7241,1.7241,1.7241,158174
1997-11-14,1.7398,1.7398,1.7398,1.7398,468472
1997-11-17,1.7551,1.7551,1.7551,1.7551,306632
1997-11-18,1.732,1.732,1.732,1.732,105646
1997-11-19,1.709,1.709,1.709,1.709,85322
1997-11-20,1.709,1.709,1.709,1.709,74887
1997-11-21,1.7167,1.7167,1.7167,1.7167,186822
1997-11-24,1.7012,1.7012,1.7012,1.7012,98074
1997-11-25,1.6784,1.6784,1.6784,1.6784,65233
1997-11-26,1.7012,1.7012,1.7012,1.7012,107056
1997-11-27,1.5481,1.5481,1.5481,1.5481,62661
1997-11-28,1.617,1.617,1.617,1.617,228287
1997-12-01,1.6555,1.6555,1.6555,1.6555,213077
1997-12-02,1.686,1.686,1.686,1.686,230709
1997-12-03,1.686,1.686,1.686,1.686,100079
1997-12-04,1.6784,1.6784,1.6784,1.6784,146797
1997-12-05,1.732,1.732,1.732,1.732,187663
1997-12-08,1.709,1.709,1.709,1.709,59067
1997-12-09,1.6784,1.6784,1.6784,1.6784,46055
1997-12-10,1.5864,1.5864,1.5864,1.5864,124615
1997-12-11,1.5556,1.5556,1.5556,1.5556,199144
1997-12-12,1.5556,1.5556,1.5556,1.5556,142784
1997-12-15,1.571,1.571,1.571,1.571,124944
1997-12-16,1.5786,1.5786,1.5786,1.5786,121951
1997-12-17,1.6092,1.6092,1.6092,1.6092,315047
1997-12-18,1.5327,1.5327,1.5327,1.5327,59845
1997-12-19,1.4561,1.4561,1.4561,1.4561,62642
1997-12-22,1.4178,1.4178,1.4178,1.4178,142993
1997-12-23,1.4406,1.4406,1.4406,1.4406,110347
1997-12-29,1.4945,1.4945,1.4945,1.4945,110770
1997-12-30,1.6092,1.6092,1.6092,1.6092,119091
1997-12-31,1.6092,1.6092,1.6092,1.6092,95799
1998-01-05,1.6632,1.6632,1.6632,1.6632,59275
1998-01-06,1.6323,1.6323,1.6323,1.6323,34744
1998-01-07,1.5327,1.5327,1.5327,1.5327,66042
1998-01-08,1.5098,1.5098,1.5098,1.5098,194533
1998-01-09,1.4867,1.4867,1.4867,1.4867,226804
1998-01-12,1.3871,1.3871,1.3871,1.3871,229885
1998-01-13,1.3871,1.3871,1.3871,1.3871,122595
1998-01-14,1.4332,1.4332,1.4332,1.4332,240652
1998-01-15,1.41,1.41,1.41,1.41,13444
1998-01-16,1.3871,1.3871,1.3871,1.3871,515371
1998-01-19,1.4178,1.4178,1.4178,1.4178,148755
1998-01-20,1.3871,1.3871,1.3871,1.3871,132891
1998-01-21,1.3565,1.3565,1.3565,1.3565,95873
1998-01-22,1.3181,1.3181,1.3181,1.3181,399709
1998-01-23,1.3181,1.3181,1.3181,1.3181,1293081
1998-01-26,1.3487,1.3487,1.3487,1.3487,133597
1998-01-27,1.3334,1.3334,1.3334,1.3334,269794
1998-01-28,1.3334,1.3334,1.3334,1.3334,164220
1998-01-29,1.3641,1.3641,1.3641,1.3641,1714105
1998-01-30,1.4024,1.4024,1.4024,1.4024,479236
1998-02-02,1.4024,1.4024,1.4024,1.4024,961586
1998-02-03,1.4024,1.4024,1.4024,1.4024,400188
1998-02-04,1.3871,1.3871,1.3871,1.3871,1114669
1998-02-05,1.3871,1.3871,1.3871,1.3871,808009
1998-02-06,1.4178,1.4178,1.4178,1.4178,291559
1998-02-09,1.5252,1.5252,1.5252,1.5252,725802
1998-02-10,1.5252,1.5252,1.5252,1.5252,553299
1998-02-11,1.5481,1.5481,1.5481,1.5481,283000
1998-02-12,1.571,1.571,1.571,1.571,608280
1998-02-13,1.5098,1.5098,1.5098,1.5098,453113
1998-02-16,1.4867,1.4867,1.4867,1.4867,134120
1998-02-17,1.5098,1.5098,1.5098,1.5098,423135
1998-02-18,1.5327,1.5327,1.5327,1.5327,172738
1998-02-19,1.5864,1.5864,1.5864,1.5864,360984
1998-02-20,1.5556,1.5556,1.5556,1.5556,167560
1998-02-23,1.5327,1.5327,1.5327,1.5327,397881
1998-02-24,1.5098,1.5098,1.5098,1.5098,148368
1998-02-25,1.4716,1.4716,1.4716,1.4716,376805
1998-02-26,1.4867,1.4867,1.4867,1.4867,253913
1998-02-27,1.4867,1.4867,1.4867,1.4867,143342
1998-03-02,1.4867,1.4867,1.4867,1.4867,329010
1998-03-03,1.5098,1.5098,1.5098,1.5098,1167074
1998-03-04,1.5174,1.5174,1.5174,1.5174,152995
1998-03-05,1.4561,1.4561,1.4561,1.4561,161301
1998-03-06,1.4561,1.4561,1.4561,1.4561,157558
1998-03-09,1.4867,1.4867,1.4867,1.4867,94227
1998-03-10,1.4867,1.4867,1.4867,1.4867,419720
1998-03-11,1.5098,1.5098,1.5098,1.5098,444015
1998-03-12,1.4867,1.4867,1.4867,1.4867,545876
1998-03-13,1.4945,1.4945,1.4945,1.4945,428507
1998-03-16,1.5327,1.5327,1.5327,1.5327,368213
1998-03-17,1.5327,1.5327,1.5327,1.5327,625240
1998-03-18,1.5633,1.5633,1.5633,1.5633,572341
1998-03-19,1.5327,1.5327,1.5327,1.5327,227927
1998-03-20,1.4716,1.4716,1.4716,1.4716,324640
1998-03-23,1.4867,1.4867,1.4867,1.4867,391522
1998-03-24,1.4406,1.4406,1.4406,1.4406,92222
1998-03-25,1.41,1.41,1.41,1.41,491030
1998-03-26,1.41,1.41,1.41,1.41,104017
1998-03-27,1.3334,1.3334,1.3334,1.3334,212763
1998-03-30,1.3487,1.3487,1.3487,1.3487,245801
1998-03-31,1.3411,1.3411,1.3411,1.3411,225291
1998-04-01,1.3334,1.3334,1.3334,1.3334,197331
1998-04-02,1.3029,1.3029,1.3029,1.3029,120061
1998-04-06,1.3181,1.3181,1.3181,1.3181,93150
1998-04-07,1.3565,1.3565,1.3565,1.3565,207180
1998-04-08,1.3487,1.3487,1.3487,1.3487,51239
1998-04-09,1.3181,1.3181,1.3181,1.3181,98811
1998-04-14,1.3259,1.3259,1.3259,1.3259,62972
1998-04-15,1.3411,1.3411,1.3411,1.3411,192198
1998-04-16,1.3334,1.3334,1.3334,1.3334,196360
1998-04-17,1.3104,1.3104,1.3104,1.3104,145645
1998-04-20,1.3029,1.3029,1.3029,1.3029,92056
1998-04-21,1.1803,1.1803,1.1803,1.1803,64458
1998-04-22,1.1878,1.1878,1.1878,1.1878,189232
1998-04-23,1.1878,1.1878,1.1878,1.1878,281412
1998-04-24,1.2109,1.2109,1.2109,1.2109,177050
1998-04-27,1.1954,1.1954,1.1954,1.1954,108418
