Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-09-10,13.57,14.114,12.91,13.139,351486
2007-09-11,13.379,13.455,12.28,12.404,90155
2007-09-12,12.366,12.691,11.955,12.079,63452
2007-09-13,12.041,12.872,11.592,12.7,62315
2007-09-14,12.767,12.767,12.289,12.423,25435
2007-09-17,12.375,12.738,12.346,12.662,12068
2007-09-18,12.423,12.605,12.423,12.537,3852
2007-09-19,12.7,12.7,12.327,12.356,20786
2007-09-20,12.337,12.394,12.098,12.184,29586
2007-09-21,12.108,12.366,12.108,12.136,16548
2007-09-24,12.146,12.232,12.098,12.232,10280
2007-09-25,12.327,12.327,11.793,11.811,5390
2007-09-26,12.041,12.041,11.524,11.697,10885
2007-09-27,11.897,11.897,11.286,11.372,13004
2007-09-28,11.19,11.352,10.818,10.865,25760
2007-10-01,10.321,10.369,9.719,10.053,80579
2007-10-02,10.369,10.989,10.053,10.694,17248
2007-10-03,10.694,10.884,10.1,10.359,3437
2007-10-04,10.617,10.617,10.034,10.311,10823
2007-10-05,10.493,10.493,10.148,10.473,2303
2007-10-08,10.177,10.473,10.177,10.187,4439
2007-10-09,10.407,10.407,10.092,10.139,4611
2007-10-10,10.053,10.053,9.651,9.833,12271
2007-10-11,9.719,9.795,9.518,9.767,23941
2007-10-12,9.699,9.747,9.699,9.747,18580
2007-10-15,9.833,10.417,9.833,10.417,15030
2007-10-16,10.311,10.588,10.273,10.321,12678
2007-10-17,10.321,10.54,10.282,10.369,1848
2007-10-18,10.369,10.369,10.034,10.034,9147
2007-10-19,10.215,10.215,9.976,10.168,1241
2007-10-22,10.158,10.158,9.757,9.795,5056
2007-10-23,10.024,10.148,9.719,10.082,7428
2007-10-24,10.062,10.072,9.843,10.034,1689
2007-10-25,9.852,10.082,9.757,9.938,9554
2007-10-26,9.843,9.843,9.757,9.795,7874
2007-10-29,9.681,9.795,9.681,9.795,8975
2007-10-30,9.661,9.671,8.8489,9.3841,23776
2007-10-31,9.4507,9.4604,9.2121,9.4125,9081
2007-11-02,9.1738,9.1738,8.6004,8.696,114434
2007-11-05,8.5909,8.6004,8.18,8.4571,64197
2007-11-06,8.4571,8.8872,8.2183,8.5813,37248
2007-11-07,8.696,8.696,8.5336,8.6291,48777
2007-11-08,8.4093,8.8776,8.1226,8.7629,47261
2007-11-09,8.9732,8.9732,8.3902,8.5909,9619
2007-11-12,8.6004,8.7821,8.4571,8.696,13343
2007-11-13,8.8776,9.0783,8.6004,9.0783,18683
2007-11-14,9.1356,9.547,8.9062,9.4604,5308
2007-11-15,9.0783,9.3176,8.8776,9.0305,18021
2007-11-16,8.8011,9.0783,8.3711,8.5049,11870
2007-11-19,8.9445,9.0783,8.6196,8.8872,8773
2007-11-20,8.4093,8.5909,8.2183,8.5432,12091
2007-11-21,8.5049,8.5049,8.0175,8.0175,33614
2007-11-22,7.8647,8.1991,7.8551,8.0366,12568
2007-11-23,8.0558,8.3615,8.027,8.2087,4441
2007-11-26,8.3615,8.3807,8.0844,8.0844,5964
2007-11-27,8.352,8.8872,7.6449,8.8872,37215
2007-11-28,9.0305,9.795,8.9349,9.1165,49504
2007-11-29,9.1165,9.728,8.7915,9.728,27966
2007-11-30,9.737,10.417,9.613,10.321,32630
2007-12-03,10.321,11.181,9.862,10.97,47657
2007-12-04,10.989,11.305,10.417,11.305,23970
2007-12-05,11.352,11.554,10.951,10.951,16225
2007-12-06,10.846,11.468,10.836,11.113,14327
2007-12-07,11.267,11.276,10.464,10.473,1328
2007-12-10,10.177,10.321,8.6483,8.6483,26838
2007-12-11,8.8107,10.694,8.8107,10.684,24340
2007-12-12,10.559,10.932,10.559,10.836,11976
2007-12-13,10.321,11.554,10.321,11.372,49235
2007-12-14,11.362,11.468,11.181,11.181,5036
2007-12-17,11.448,11.448,10.894,10.913,6640
2007-12-18,11.037,11.037,10.607,10.989,2593
2007-12-19,10.98,10.98,10.694,10.702,21105
2007-12-20,10.569,10.569,10.511,10.511,7384
2007-12-21,10.521,10.588,10.148,10.158,13463
2007-12-27,10.254,10.511,10.254,10.511,220
2007-12-28,10.588,10.741,10.292,10.493,6206
2008-01-02,10.493,10.655,10.493,10.655,402
2008-01-03,10.961,10.961,10.961,10.961,775
2008-01-04,10.875,10.951,10.425,10.425,3051
2008-01-07,10.407,10.407,10.369,10.369,586
2008-01-08,10.311,10.55,10.273,10.531,775
2008-01-09,10.139,10.139,9.89,9.89,2537
2008-01-10,10.359,10.359,9.747,9.747,288
2008-01-14,9.843,9.938,9.3645,9.3645,631
2008-01-15,10.034,10.034,9.3645,9.556,1771
2008-01-16,8.696,9.4125,8.696,9.4125,1186
2008-01-18,9.3645,9.3645,9.3645,9.3645,627
2008-01-21,8.5527,9.556,8.5527,9.4986,4273
2008-01-22,8.8011,9.556,8.7534,8.7534,1446
2008-01-23,9.556,9.556,8.9827,9.0305,2252
2008-01-24,9.556,9.556,9.537,9.537,376
