Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-03-22,14.878,14.878,14.007,14.512,6511
2016-03-23,14.606,14.606,13.248,14.325,7028
2016-03-24,14.278,14.419,14.278,14.419,1856
2016-03-29,14.138,14.147,14.044,14.147,1976
2016-03-30,14.147,14.512,14.147,14.503,3718
2016-03-31,14.054,14.447,14.054,14.447,23
2016-04-01,14.372,14.372,14.372,14.372,112
2016-04-04,14.372,14.372,14.372,14.372,175
2016-04-05,14.372,14.372,14.278,14.278,1183
2016-04-06,14.372,14.372,14.138,14.138,752
2016-04-07,14.278,14.278,14.091,14.091,127
2016-04-08,14.091,14.512,14.091,14.1,2506
2016-04-11,14.494,14.494,14.494,14.494,1
2016-04-12,14.1,14.391,14.091,14.391,358
2016-04-13,14.363,14.363,14.1,14.363,281
2016-04-14,14.232,14.325,14.232,14.325,860
2016-04-15,14.044,14.288,13.951,14.288,1901
2016-04-18,14.054,14.054,14.035,14.035,903
2016-04-19,13.969,13.969,13.932,13.932,873
2016-04-20,13.904,13.904,13.295,13.314,1698
2016-04-21,13.576,13.67,13.576,13.576,739
2016-04-22,13.576,13.951,13.576,13.951,117
2016-04-25,13.67,13.67,13.305,13.305,1079
2016-04-26,13.623,14.232,13.623,14.232,3113
2016-04-27,14.232,14.7,14.232,14.241,8481
2016-04-28,14.25,14.25,14.25,14.25,314
2016-05-02,14.325,14.325,14.325,14.325,101
2016-05-04,13.717,13.988,13.698,13.698,1246
2016-05-06,13.857,14.503,13.857,13.951,1068
2016-05-09,14.044,14.044,14.044,14.044,11
2016-05-10,14.044,14.11,14.044,14.11,770
2016-05-11,14.063,14.597,14.063,14.512,2987
2016-05-12,14.55,14.55,14.325,14.447,2681
2016-05-13,14.419,14.419,14.419,14.419,214
2016-05-16,14.475,14.503,14.438,14.503,940
2016-05-17,14.512,14.512,14.466,14.466,1670
2016-05-18,14.419,14.419,14.419,14.419,64
2016-05-19,14.325,14.512,14.325,14.512,11596
2016-05-20,14.597,14.606,14.597,14.606,2986
2016-05-23,14.419,14.419,14.325,14.325,694
2016-05-24,14.512,14.606,14.512,14.522,1034
2016-05-25,14.606,14.606,14.606,14.606,514
2016-05-30,14.512,14.512,14.335,14.512,411
2016-05-31,14.466,14.512,14.325,14.512,1728
2016-06-01,14.335,14.335,14.082,14.082,999
2016-06-02,14.054,14.606,14.044,14.606,3857
2016-06-03,14.606,14.606,14.606,14.606,85
2016-06-06,14.606,14.606,14.232,14.232,365
2016-06-07,14.213,14.587,14.213,14.587,1111
2016-06-08,14.185,14.325,14.185,14.325,1015
2016-06-09,14.325,14.325,14.325,14.325,162
2016-06-10,14.232,14.232,14.232,14.232,1068
2016-06-14,14.241,14.241,14.054,14.054,449
2016-06-15,14.054,14.054,14.044,14.044,420
2016-06-16,13.951,13.951,13.763,13.763,216
2016-06-20,13.763,13.773,13.763,13.763,536
2016-06-21,13.3983,13.3983,13.3983,13.3983,43
2016-06-22,13.7447,13.932,13.7447,13.932,237
2016-06-24,13.3983,13.5668,12.6399,13.52,4523
2016-06-27,14,14,13.9,14,1731
2016-06-28,14,14,14,14,422
2016-06-29,13.9,14.5,13.9,14.49,710
2016-06-30,14.2,14.2,14.2,14.2,4
2016-07-01,14.1,14.11,14.1,14.11,370
2016-07-04,14.2,14.2,13.8,13.8,2208
2016-07-05,13.9,13.9,13.35,13.35,271
