Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2006-12-15,21.367,23.215,17.458,20.894,364838
2006-12-18,21.822,23.03,20.058,20.615,55229
2006-12-19,20.336,20.336,17.727,17.736,36361
2006-12-20,18.451,18.935,17.56,18.08,16655
2006-12-21,17.653,18.851,17.644,18.108,12225
2006-12-22,18.284,18.284,17.653,17.699,11509
2006-12-27,18.08,18.526,17.736,17.866,5176
2006-12-28,17.782,17.913,17.087,17.644,2933
2006-12-29,18.015,18.34,17.56,18.34,3526
2007-01-02,18.359,18.61,17.829,18.387,3963
2007-01-03,18.433,18.433,17.365,17.959,7150
2007-01-04,17.931,17.931,17.272,17.634,5380
2007-01-05,17.458,17.644,17.458,17.644,4841
2007-01-08,17.802,18.349,17.662,17.838,9174
2007-01-09,17.885,17.969,17.699,17.876,4062
2007-01-10,18.099,18.433,17.913,18.275,2422
2007-01-11,18.34,18.666,17.959,18.666,11107
2007-01-12,18.721,20.43,18.721,19.705,6375
2007-01-15,19.965,20.708,19.687,20.476,44517
2007-01-16,20.42,20.476,19.974,20.43,17537
2007-01-17,20.661,22.194,20.243,21.915,61384
2007-01-18,23.586,24.051,22.843,23.578,66104
2007-01-19,23.958,24.051,22.379,22.843,18452
2007-01-22,22.314,22.314,21.73,21.73,6658
2007-01-23,21.543,21.571,21.172,21.543,3129
2007-01-24,21.358,21.73,21.172,21.627,9043
2007-01-25,23.215,25.491,22.853,24.617,110731
2007-01-26,25.073,25.964,23.707,25.351,32844
2007-01-29,25.351,25.351,24.237,24.608,4750
2007-01-30,24.33,24.608,23.679,24.404,8271
2007-01-31,23.401,23.912,23.401,23.865,1997
2007-02-01,23.865,24.32,23.494,24.283,8709
2007-02-02,23.41,24.144,23.309,23.494,6696
2007-02-05,23.215,23.773,23.215,23.679,7633
2007-02-06,23.494,23.958,23.309,23.958,5702
2007-02-07,23.958,24.144,23.494,23.586,7890
2007-02-08,23.401,23.401,22.286,22.314,13347
2007-02-09,22.128,22.333,22.128,22.138,5279
2007-02-12,22.101,22.101,20.996,21.72,14676
2007-02-13,21.822,21.869,21.358,21.813,6241
2007-02-14,21.822,21.822,21.172,21.181,3676
2007-02-15,21.915,22.473,21.591,21.758,11226
2007-02-16,22.11,23.679,22.11,23.215,21927
2007-02-19,23.215,23.773,22.556,23.763,10168
2007-02-20,23.819,23.819,22.676,23.215,5773
2007-02-21,23.392,23.401,22.286,23.215,6430
2007-02-22,23.401,24.794,23.401,24.701,21206
2007-02-23,24.701,25.249,24.144,24.608,14596
2007-02-26,24.701,25.537,24.144,24.896,24625
2007-02-27,24.886,25.073,23.215,24.042,32099
2007-02-28,23.122,23.948,22.379,23.773,10471
2007-03-01,24.097,24.422,23.494,24.135,20997
2007-03-02,24.33,24.33,23.54,23.958,2096
2007-03-05,23.447,23.494,22.286,23.215,6046
2007-03-06,23.958,23.958,22.751,23.215,3171
2007-03-07,23.03,23.215,22.937,23.03,2663
2007-03-08,23.215,24.237,23.215,24.144,5008
2007-03-09,24.98,24.98,24.163,24.655,8230
2007-03-12,24.33,25.509,24.33,25.258,11310
2007-03-13,25.815,27.951,25.815,27.812,13493
2007-03-14,27.831,30.18,27.831,29.251,49963
2007-03-15,30.644,32.037,29.716,30.644,33760
2007-03-16,30.737,31.572,30.087,30.411,6876
2007-03-19,31.564,31.564,30.467,30.551,10235
2007-03-20,30.644,31.016,28.434,28.787,16919
2007-03-21,28.787,28.787,27.951,28.137,16580
2007-03-22,28.146,29.716,28.146,28.416,8141
2007-03-23,28.183,28.787,27.812,28.787,10960
2007-03-26,29.577,30.644,29.577,30.18,7442
2007-03-27,30.18,31.108,29.808,30.18,31397
2007-03-28,29.446,30.087,28.416,28.611,4202
2007-03-29,28.694,29.706,28.694,29.567,6460
2007-03-30,28.647,30.626,28.229,30.626,8012
2007-04-02,30.634,30.634,28.787,29.697,4502
2007-04-03,29.344,31.1,29.205,30.18,7049
2007-04-04,30.18,30.411,28.806,29.716,8642
2007-04-05,30.087,30.087,28.88,29.623,919
2007-04-10,29.529,30.634,28.973,30.459,6690
2007-04-11,30.272,30.644,30.272,30.459,3526
2007-04-12,30.459,31.201,28.601,29.716,5831
2007-04-13,29.716,29.716,28.787,29.529,2387
2007-04-16,29.251,29.251,27.96,28.639,6559
2007-04-17,28.639,28.787,27.709,28.778,2887
2007-04-18,28.778,30.505,27.709,27.784,16183
2007-04-19,27.858,29.158,27.58,27.784,1959
2007-04-20,27.765,28.694,27.765,28.044,5224
2007-04-23,28.954,28.954,27.58,28.137,7258
2007-04-24,27.58,28.787,27.58,27.951,2603
2007-04-25,28.137,28.787,28.137,28.685,8594
2007-04-26,28.778,28.778,27.923,27.96,1968
2007-04-27,27.84,28.044,27.84,27.858,1239
2007-04-30,27.858,27.858,27.737,27.858,1068
2007-05-02,27.589,28.137,27.589,27.858,460
2007-05-04,27.858,28.452,27.858,28.044,623
2007-05-07,28.508,28.508,27.858,27.858,584
2007-05-08,27.682,27.858,27.524,27.673,3055
2007-05-09,27.524,27.858,26.837,27.301,7009
2007-05-10,27.765,27.765,25.862,26.929,3617
2007-05-11,26.001,26.28,25.137,26.186,4810
2007-05-14,26.001,26.186,25.537,25.768,4471
2007-05-15,25.351,26.744,25.351,26.465,1473
2007-05-16,26.373,30.18,26.373,29.112,40449
2007-05-17,29.437,30.18,27.765,29.149,5277
2007-05-18,28.787,29.149,27.394,29.149,19705
2007-05-21,29.437,30.17,26.939,26.939,20068
2007-05-22,27.858,28.416,27.394,27.413,1690
2007-05-23,28.322,28.694,27.487,28.137,1632
2007-05-24,27.134,28.499,27.134,28.499,2692
2007-05-25,28.322,29.688,28.322,29.167,6521
2007-05-28,29.678,35.287,29.251,35.046,68581
2007-05-29,33.987,34.359,33.059,34.359,8673
2007-05-30,34.266,34.266,32.037,32.037,9707
2007-05-31,32.037,34.359,32.037,34.359,23520
2007-06-01,35.185,38.63,35.176,37.145,59224
2007-06-04,37.145,38.073,34.823,35.287,9886
2007-06-05,34.915,36.03,33.244,34.813,7005
2007-06-06,35.148,35.148,32.966,33.43,4545
2007-06-08,32.223,32.501,30.737,30.737,9994
2007-06-11,31.108,33.43,31.108,32.984,5228
2007-06-12,34.359,34.359,33.059,33.894,1081
2007-06-13,34.172,34.172,32.501,33.708,1619
2007-06-14,33.43,33.43,32.046,33.43,3953
2007-06-15,31.675,33.328,31.675,32.325,1143
2007-06-18,32.037,32.956,31.665,32.316,3322
2007-06-19,32.966,32.966,31.211,31.211,8381
2007-06-20,32.501,32.966,32.501,32.501,5977
2007-06-21,32.501,35.287,31.572,32.641,3912
2007-06-22,34.359,34.544,32.594,33.43,13972
2007-06-25,32.752,34.442,32.501,32.659,504
2007-06-26,33.894,35.102,33.43,33.634,11641
2007-06-27,38.992,38.992,35.575,35.575,36304
2007-06-28,36.308,37.609,35.389,36.207,5361
2007-06-29,36.485,36.485,34.071,36.448,15189
2007-07-02,36.68,36.68,35.751,36.513,8966
2007-07-03,35.798,36.494,35.287,36.03,784
2007-07-04,36.959,37.609,36.68,37.125,9039
2007-07-05,38.073,38.073,36.717,37.117,9160
2007-07-06,37.609,37.609,36.207,36.587,4164
2007-07-09,35.52,36.215,34.172,34.359,9472
2007-07-10,35.277,35.277,33.43,34.451,1727
2007-07-11,34.359,34.359,33.43,33.894,2985
2007-07-12,33.43,33.894,33.151,33.885,3036
2007-07-13,33.43,34.359,32.975,34.266,827
2007-07-16,35.259,35.259,33.254,33.894,1555
2007-07-17,33.894,35.287,33.151,35.287,1544
2007-07-18,35.715,35.715,35.287,35.464,1656
2007-07-19,35.649,35.695,34.359,35.333,967
2007-07-20,34.823,35.241,34.59,35.055,973
2007-07-23,34.823,34.823,33.987,34.777,1236
2007-07-24,34.73,34.758,34.126,34.154,1929
2007-07-25,33.105,34.684,33.105,33.857,925
2007-07-26,34.349,34.359,31.759,33.421,1766
2007-07-27,32.037,32.872,31.108,32.687,2077
2007-07-30,33.235,33.244,32.037,32.501,1097
2007-07-31,33.151,33.151,31.572,33.142,1788
2007-08-01,32.037,32.362,30.829,31.108,2119
2007-08-02,31.99,31.99,30.997,31.554,478
2007-08-03,31.108,32.121,30.551,30.644,1383
2007-08-06,30.254,30.254,28.508,28.508,3110
2007-08-07,28.787,29.706,28.787,29.065,1048
2007-08-08,29.623,29.623,27.171,28.183,2043
2007-08-09,28.601,28.601,26.929,27.626,2027
2007-08-10,26.001,26.465,23.401,23.401,7898
2007-08-13,24.33,24.562,22.76,23.076,23059
2007-08-14,23.689,24.144,22.612,23.132,8579
2007-08-16,22.045,22.045,19.408,21.07,8265
2007-08-17,19.965,21.358,19.594,21.358,5813
2007-08-20,21.358,22.286,21.348,21.822,11279
2007-08-21,22.751,22.751,21.358,22.24,1524
2007-08-22,22.565,22.751,22.156,22.751,10949
2007-08-23,23.215,23.679,22.519,23.122,5572
2007-08-24,23.113,23.113,22.76,23.076,4244
2007-08-27,23.03,25.537,23.03,23.679,7376
2007-08-28,24.125,24.125,22.565,23.113,3793
2007-08-29,22.184,22.742,21.451,22.742,4978
2007-08-30,23.67,23.679,22.473,23.02,2313
2007-08-31,23.586,23.586,23.169,23.215,416
2007-09-03,23.679,24.144,23.215,23.679,1330
2007-09-04,24.144,24.144,23.215,23.679,668
2007-09-05,24.135,24.135,22.286,23.122,3677
2007-09-06,23.03,23.169,22.519,22.751,1182
2007-09-07,23.169,23.169,22.008,22.286,1959
