Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-10-30,5.9313,6.3083,5.6569,5.9055,152608
2007-10-31,5.897,5.897,5.6998,5.6998,25720
2007-11-02,5.7426,5.8712,5.6998,5.7855,28794
2007-11-05,5.897,5.897,5.6998,5.6998,22438
2007-11-06,5.7855,5.7855,5.7426,5.7855,15440
2007-11-07,5.7855,5.794,5.4856,5.4856,51459
2007-11-08,5.5284,5.6483,4.9799,5.6483,38472
2007-11-09,5.2712,5.6569,5.2712,5.6483,16721
2007-11-12,5.9055,5.9055,5.3141,5.5712,13207
2007-11-13,5.6569,5.6826,5.5712,5.5712,61108
2007-11-14,5.9141,5.9141,5.5712,5.7769,399
2007-11-15,5.5712,5.6826,5.1598,5.6826,6719
2007-11-16,5.5626,5.5712,5.5626,5.5712,1527
2007-11-19,5.6569,5.6826,5.6569,5.6826,115
2007-11-20,5.6569,5.6569,5.3484,5.3484,552
2007-11-21,5.0827,5.0827,4.714,4.714,1680
2007-11-22,4.714,4.714,4.714,4.714,817
2007-11-23,4.2941,5.3056,4.2941,5.3056,526
2007-11-26,5.6483,5.6826,5.1427,5.1427,6919
2007-11-27,5.1427,5.3912,5.1427,5.2712,995
2007-11-28,4.9713,5.5712,4.9713,5.5712,14214
2007-11-30,5.0998,5.7426,5.0998,5.7426,101436
2007-12-03,5.7426,5.9141,5.5712,5.9141,38129
2007-12-05,5.7341,5.8283,5.4512,5.7426,9264
2007-12-06,5.7426,5.9055,5.7426,5.9055,10582
2007-12-10,5.5626,5.7341,5.5626,5.5798,1201
2007-12-11,5.5712,6.2141,5.5712,6.2141,88022
2007-12-12,6.2312,6.2312,6.0169,6.1711,7674
2007-12-13,6.0169,6.1626,6.0169,6.1626,991
2007-12-14,5.9313,6.1711,5.5712,6.1711,119010
2007-12-17,6.1626,6.1626,6.0598,6.0598,764
2007-12-18,5.9998,5.9998,5.9998,5.9998,233
2007-12-19,6.1711,6.1711,6.1711,6.1711,2333
2007-12-20,6.1711,6.7712,6.1711,6.7712,25732
2007-12-21,6.7712,7.2854,6.7712,7.0283,10906
2007-12-27,7.0368,7.6283,7.0283,7.2854,6767
2007-12-28,7.5854,7.7139,7.3283,7.5425,23286
2008-01-02,7.8426,7.8426,7.5425,7.7139,7821
2008-01-03,7.6283,7.7139,7.2854,7.2854,6750
2008-01-04,7.2854,7.2854,7.2854,7.2854,2180
2008-01-07,7.1311,7.1311,6.5911,6.8569,5544
2008-01-08,6.5997,6.6083,6.5997,6.6083,1959
2008-01-09,6.257,6.5141,6.0855,6.5141,7456
2008-01-10,6.257,6.334,6.0855,6.334,2687
2008-01-11,6.257,6.257,6.0083,6.2141,3900
2008-01-14,6.2398,6.2398,5.6569,5.9998,7148
2008-01-15,5.9998,6.4284,5.9998,6.1711,3531
2008-01-16,5.8283,5.9998,5.3141,5.8283,9660
2008-01-17,5.6569,6.257,5.6569,5.7426,44338
2008-01-18,5.9998,5.9998,5.8283,5.8454,2683
2008-01-21,5.9998,5.9998,5.2798,5.6998,3707
2008-01-22,5.8712,5.8712,5.5712,5.5712,701
2008-01-23,5.8454,5.8712,5.5712,5.5712,21174
2008-01-24,5.6569,6.1283,5.5712,6.1283,2072
2008-01-25,6.7712,6.7712,6.0427,6.1283,6640
2008-01-28,6.1711,6.1711,5.6569,5.7169,1050
2008-01-29,5.8027,6.4112,5.7426,5.7426,1777
2008-01-30,5.8283,6.2398,5.614,6.2398,4583
2008-01-31,6.3426,6.3426,5.9998,5.9998,7529
2008-02-01,6.0941,6.0941,5.8369,6.0941,2248
2008-02-04,6.2141,6.2141,5.9998,5.9998,41636
2008-02-05,5.9998,5.9998,5.8283,5.8283,15450
2008-02-06,5.6569,5.8283,5.5712,5.8283,40916
2008-02-07,5.7426,5.9998,5.674,5.9998,61172
2008-02-11,5.9827,6.2997,5.9827,6.2997,1120
2008-02-12,6.257,6.257,6.0941,6.2141,1925
2008-02-13,6.1711,6.1711,6.1711,6.1711,233
2008-02-14,6.257,6.257,5.9141,6.1711,2701
2008-02-15,5.9141,6.1283,5.9141,6.1283,1166
2008-02-18,5.9998,6.1283,5.6569,6.1283,1960
2008-02-19,5.6998,6.0427,5.6998,6.0427,2345
2008-02-20,5.7426,5.9827,5.6569,5.9827,2030
2008-02-21,5.7083,5.9827,5.6569,5.9741,67186
2008-02-22,5.7426,5.9141,5.7426,5.9141,1168
2008-02-25,5.9741,5.9741,5.6569,5.9141,39676
2008-02-26,5.9141,5.9655,5.9141,5.9655,1540
2008-02-27,5.9141,5.9313,5.9141,5.9141,12890
2008-02-28,5.9141,5.9141,5.614,5.897,7630
2008-02-29,5.9912,6.1283,5.854,6.1112,15729
2008-03-03,6.0855,6.0855,5.9912,5.9998,7467
2008-03-04,6.0341,6.0341,5.8283,5.9141,7271
2008-03-05,5.8283,6.0855,5.8283,6.0855,26703
2008-03-06,6.2483,6.8569,6.0855,6.5569,10541
2008-03-07,6.0855,6.8398,6.0855,6.6855,18335
2008-03-10,6.7712,6.9855,6.6855,6.9855,12496
2008-03-11,6.8569,7.2426,6.8569,7.2426,7062
2008-03-12,7.2854,7.457,7.2854,7.457,7045
2008-03-13,6.8827,7.3712,6.8827,7.3712,151
2008-03-14,6.9426,7.4997,6.9426,7.2169,10507
2008-03-17,7.5425,7.5425,6.9855,6.9855,522
2008-03-18,7.4997,7.4997,6.8655,7.457,4057
2008-03-19,7.1997,7.3626,7.114,7.3626,1762
2008-03-20,7.0112,7.3626,6.6855,7.354,7460
2008-03-25,7.114,7.4484,7.114,7.414,5276
2008-03-26,7.3712,7.4912,7.1997,7.1997,127928
2008-03-27,7.2083,7.5425,7.2083,7.5425,127694
2008-03-28,7.5425,7.6111,7.2941,7.5425,2881
2008-03-31,7.5425,7.5948,7.2903,7.5425,1283
2008-04-01,7.5425,7.7139,7.3283,7.3712,5778
2008-04-02,7.3283,7.6968,7.2083,7.6968,695
2008-04-03,7.7139,7.7139,7.6283,7.6283,1062
2008-04-04,7.5511,7.6883,7.5511,7.6883,245
2008-04-07,7.6797,7.6797,7.3026,7.3712,133519
2008-04-08,7.457,7.457,7.3712,7.3712,610
2008-04-09,7.2854,7.2854,7.0454,7.0454,118012
2008-04-10,6.9855,7.1997,6.9855,7.1997,24943
2008-04-11,7.1483,7.354,6.874,7.2854,18282
2008-04-14,6.9254,7.2682,6.9254,7.2682,122439
2008-04-16,6.9855,7.2597,6.9855,6.9855,790
