Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2009-10-28,11.951,14.379,11.951,12.768,9193
2009-10-29,12.62,14.103,12.62,12.879,7505
2009-10-30,13.732,13.732,12.99,13.057,9286
2009-11-02,13.087,13.138,12.611,12.76,2688
2009-11-03,12.611,12.768,12.211,12.611,1263
2009-11-04,12.211,12.99,12.211,12.99,118
2009-11-05,12.99,12.99,12.99,12.99,162
2009-11-06,12.99,14.103,12.99,12.99,2474
2009-11-09,12.99,13.286,12.99,12.99,1494
2009-11-10,12.99,13.138,12.99,12.99,629
2009-11-12,12.99,12.99,12.916,12.916,301
2009-11-16,12.916,12.916,12.916,12.916,433
2009-11-18,12.842,12.916,12.842,12.842,46
2009-11-19,12.782,12.782,12.626,12.626,176
2009-11-23,12.99,12.99,12.99,12.99,269
2009-11-24,12.99,12.99,12.99,12.99,135
2009-11-25,12.99,12.99,12.953,12.953,4
2009-11-26,11.662,12.842,11.662,12.842,9863
2009-12-03,11.581,12.611,11.581,12.611,3099
2009-12-04,11.817,12.611,11.817,12.611,258
2009-12-17,12.323,12.62,12.323,12.62,256
2009-12-18,11.617,12.62,11.617,12.62,1290
2009-12-21,12.62,12.62,12.62,12.62,585
2009-12-28,12.62,12.62,12.62,12.62,594
2009-12-29,12.62,12.62,12.62,12.62,42
2009-12-31,12.62,12.62,12.62,12.62,1795
2010-01-04,11.514,12.611,11.514,12.611,105
2010-01-05,11.884,12.026,11.877,12.026,1266
2010-01-06,12.026,12.026,12.026,12.026,338
2010-01-07,12.248,12.248,12.026,12.241,302
2010-01-08,11.877,11.988,11.877,11.988,405
2010-01-12,11.514,11.869,11.505,11.855,14109
2010-01-13,12.018,12.018,12.01,12.01,88
2010-01-14,11.505,12.003,11.505,12.003,13513
2010-01-15,11.877,11.877,11.877,11.877,132
2010-01-22,11.105,11.877,11.105,11.877,163
2010-01-26,11.869,11.869,11.869,11.869,66
2010-02-02,10.993,11.862,10.993,11.862,202
2010-02-05,11.016,11.016,11.007,11.007,342
2010-02-16,10.993,10.993,10.993,10.993,111
2010-02-22,10.391,10.615,10.391,10.615,201
2010-02-26,10.986,11.001,10.986,11.001,266
2010-03-02,11.061,11.061,11.061,11.061,95
2010-03-04,11.135,11.135,11.135,11.135,53
2010-03-10,11.135,11.135,11.135,11.135,1159
2010-03-11,10.763,10.763,10.763,10.763,53
2010-03-12,11.135,11.795,11.135,11.795,5714
2010-03-15,11.877,11.877,11.877,11.877,548
2010-03-17,12.472,12.611,12.396,12.396,475
2010-03-18,12.611,12.62,12.582,12.582,3694
2010-03-29,11.505,12.582,11.505,12.582,270
2010-03-30,12.582,12.611,12.582,12.611,220
2010-03-31,12.621,12.621,12.508,12.508,1320
2010-04-01,12.539,12.544,12.539,12.544,2
2010-04-06,12.508,12.508,12.174,12.248,689
2010-04-12,11.877,12.211,11.766,12.026,865
2010-04-13,11.142,11.581,11.135,11.223,799
2010-04-14,12.248,12.248,12.248,12.248,135
2010-04-15,11.847,11.877,11.142,11.795,1780
2010-04-16,11.357,12.026,11.357,11.505,1486
2010-04-19,11.684,11.684,11.505,11.505,7
2010-04-20,11.505,11.795,11.505,11.542,677
2010-04-21,11.55,11.721,11.505,11.505,686
2010-04-23,11.509,11.509,10.795,11.284,999
2010-04-26,11.284,11.284,11.284,11.284,169
