Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-03-03,53.3,56.7,53.2,55.15,92153
2011-03-04,55.15,55.15,52,54.8,6623
2011-03-07,54.7,55.05,54.05,55,4292
2011-03-08,55,55,54.25,55,11008
2011-03-09,55.1,55.5,54.65,55.5,3610
2011-03-10,55.5,55.85,54.7,55.75,865
2011-03-11,54.2,54.35,54.2,54.35,197
2011-03-14,54.05,55.4,54,55.15,1434
2011-03-15,55,55.3,54,55.3,837
2011-03-16,53.55,54.9,53.55,54.6,1121
2011-03-17,54,55.2,54,55.1,22708
2011-03-18,54.3,55,54.3,55,254
2011-03-21,55,55,54.4,54.9,926
2011-03-22,54.9,55,54.25,54.9,765
2011-03-23,54.95,55.15,54.95,55.15,1668
2011-03-24,55,55.1,54.5,54.5,1269
2011-03-25,54,55,54,55,1360
2011-03-28,55,55.3,54.55,55.3,2423
2011-03-29,55.3,55.3,54.6,54.65,281
2011-03-30,55.15,55.3,54.9,55.2,594
2011-03-31,55,55,55,55,643
2011-04-01,54.5,55,54.5,55,708
2011-04-04,57.95,67.95,57.95,67.95,38399
2011-04-05,69.8,74.9,69.7,71,25292
2011-04-06,72.5,74,70,70,8883
2011-04-07,70,70.1,66.2,67.5,5722
2011-04-08,66.2,70,66.2,69.75,3452
2011-04-11,70,70,67.7,68.25,457
2011-04-12,68,69.65,66.2,66.85,2305
2011-04-13,67,67.6,67,67.6,1110
2011-04-14,68,68,64,66.5,1377
2011-04-15,66.8,66.8,65,66.5,843
2011-04-18,67,68.5,61,62.9,3445
2011-04-19,61.1,63.45,61.1,63.45,4228
2011-04-20,64.55,64.55,62.3,64.15,443
2011-04-21,63.45,63.45,62.2,63.45,628
2011-04-26,64.9,64.95,63.4,64.85,518
2011-04-27,64.9,66.3,64.8,66.2,581
2011-04-28,66.3,66.9,65.25,66.5,276
2011-04-29,66.5,66.5,65.7,66.4,339
2011-05-02,66.5,66.5,66.1,66.1,41
2011-05-04,66.2,66.2,65.5,65.8,886
2011-05-05,65.8,66,64.7,66,769
2011-05-06,65.9,65.9,65.8,65.8,2
2011-05-09,65.9,66.5,64.5,66.1,1177
2011-05-10,65.9,65.9,65.9,65.9,2
2011-05-11,65.7,66,64.9,66,1930
2011-05-12,65,65,63.3,63.75,251
2011-05-13,62.2,63.5,60.4,63.5,367
