"";"Estimate";"Std. Error";"z value";"Pr(>|z|)"
"(Intercept)";-0,00328855534982208;0,793326976417165;-0,00414527105163359;0,996692561699663
"knn";-0,205034029411957;0,347862425121119;-0,589411257454922;0,555585426589085
"rf";0,441539147953482;0,188157299978677;2,34664904313316;0,018943088293055
"glm";-148,103927901079;74,4946031895144;-1,98811620654321;0,0467988393756117
"lda";150,029552752447;74,6836012318791;2,00886875134251;0,0445510546683193
"qda";-0,0388882422999175;0,151279074311658;-0,257062931386014;0,797130192627314
"cart";-0,555974779697716;0,480301582620977;-1,15755350349627;0,24704629322057
"svmRadial";-0,0654862111253798;0,79795792785533;-0,0820672479580308;0,934593237586135
"xgbTree";1,91362111103027;0,260621800236971;7,34252126756205;2,09607202831368e-13
"svmLinear";-3,27077275405388;1,42526078527228;-2,29485914988466;0,0217411975301941
"treebag";0,0799678764818675;0,102820649598409;0,777741405001834;0,436721477496752
