"method";"Accuracy";"Kappa";"AccuracySD";"KappaSD";"Parametry"
"knn";0,823181668258563;0,642784382106579;0,00576075266929534;0,0112077940905816;"3"
"knn";0,812828468982647;0,6219798609944;0,00167181046654891;0,00312751651645483;"5"
"knn";0,796131245899264;0,5886133241596;0,000105084476671133;0,000163476317537321;"10"
"knn";0,77725465592266;0,550941072276136;0,00547041741777862;0,0107029781959998;"20"
"knn";0,761141258533552;0,518647659772911;0,0038042820734214;0,00736238469224851;"30"
"knn";0,744288349507239;0,484825326724063;0,00428991298740823;0,00832863477664168;"50"
"knn";0,717588526129145;0,431316118848695;0,00339517597030625;0,00716820239721109;"100"
"knn";0,687152167410627;0,370455119058442;0,00360392941445421;0,0078603955257032;"200"
"rf";0,907250991333957;0,811737105213961;0,000475059342384374;0,00100758693123212;"1"
"rf";0,938154430603169;0,87464440846076;0,0032007156236566;0,0064272377064343;"2"
"rf";0,943408743697739;0,885324756302232;0,00110104843166818;0,00215653535466386;"3"
"glm";0,568598392070819;0,0886141800717088;0,00143410809178007;0,00307209494133666;"none"
"lda";0,568520560460306;0,0878113164516452;0,00154399107604775;0,0039932692142099;"none"
"qda";0,632273365592984;0,26509619267202;0,000503629265534403;0,00445821453513669;"none"
"rpart";0,759506258475838;0,505825060186889;0,00493857437984662;0,0114410498749368;"0.00294645986680687"
"rpart";0,759506258475838;0,505825060186889;0,00493857437984662;0,0114410498749368;"0.00297932001402033"
"rpart";0,756937374523965;0,500116355101206;0,00779156733657712;0,0187157951022692;"0.00308885383806519"
"rpart";0,756937374523965;0,500116355101206;0,00779156733657712;0,0187157951022692;"0.00309615609300152"
"rpart";0,755419455894012;0,496449721446648;0,00715660907601702;0,0172886949338326;"0.00324220119172801"
"rpart";0,749814702871567;0,485257095126204;0,0107575667531002;0,0243690816608643;"0.00359270942867157"
"rpart";0,746039281264363;0,477770716152469;0,0110512699134056;0,0253376714966521;"0.00385559060637925"
"rpart";0,742419577410755;0,468885649483943;0,012175135202012;0,0290933613323166;"0.00424991237294076"
"rpart";0,742419577410755;0,468885649483943;0,012175135202012;0,0290933613323166;"0.00451279355064844"
"rpart";0,739539389738734;0,462609438561305;0,0125528310200263;0,03004746930286;"0.00503855590606379"
"rpart";0,718950949680162;0,416150866649381;0,00681501845464622;0,0159854228247948;"0.00569575885033298"
"rpart";0,711205429735283;0,400210660339352;0,0044823638005212;0,011584165062809;"0.0065720294426919"
"rpart";0,709415080018821;0,396656898094391;0,00319818867489691;0,008591852178424;"0.00749211356466877"
"rpart";0,707585716792914;0,393948839741403;0,000193688585117834;0,00390888301247819;"0.00788643533123029"
"rpart";0,677150166974185;0,340132325863981;0,0177143410579701;0,0230758324944223;"0.0102961794602173"
"rpart";0,673530363144199;0,332109538530783;0,0148277714153319;0,0161590008128749;"0.0116543988783736"
"rpart";0,658273558820057;0,312879598163972;0,0224570900576335;0,0379632348431731;"0.0136260077111812"
"rpart";0,65200701670578;0,303569635533683;0,0142003843134404;0,0259387763833105;"0.0288293024886085"
"rpart";0,639006861015293;0,281550781617459;0,00654531173837874;0,0155956678182238;"0.0335611636873467"
"rpart";0,578093466825429;0,0807222353263509;0,0385873676921033;0,139815012885771;"0.0564610351676598"
"svmRadial";0,700112805165398;0,392267080651815;0,00472965645850246;0,01010845088916;"0.170122492904107; 0.25"
"svmRadial";0,70971508640822;0,411824756570126;NA;NA;"0.170122492904107; 0.5"
"svmRadial";0,725917485495927;0,446131011088451;0,00225840437241545;0,00477850197928485;"0.170122492904107; 1"
"svmRadial";0,739656566598492;0,474372088208984;0,00351999352143267;0,00705830485871848;"0.170122492904107; 2"
"xgbTree";0,531835059679125;0,0309637138928042;0,00134891281306408;0,00105591709767832;"0.3; 2; 0; 0.6; 1; 0.5; 100"
"xgbTree";0,536148585317919;0,0307246657390378;0,00187516560038879;0,00387329868271614;"0.3; 2; 0; 0.6; 1; 1; 100"
"xgbTree";0,531491138724672;0,030099992356443;0,00486906314312771;0,0104413820031626;"0.3; 2; 0; 0.8; 1; 0.5; 100"
"xgbTree";0,53918044091426;0,0390184592105575;0,00328477315038641;0,00435900190329081;"0.3; 2; 0; 0.8; 1; 1; 100"
"xgbTree";0,529272059576075;0,0274974346501649;0,00245587106702811;0,00527706332914039;"0.3; 2; 0; 1; 1; 0.5; 100"
"xgbTree";0,539024198736041;0,0390272584028975;0,00105703529082251;0,00431454525642004;"0.3; 2; 0; 1; 1; 1; 100"
"xgbTree";0,523958345423205;0,0289423903490618;0,00250320282884406;0,00529182535415764;"0.3; 4; 0; 0.6; 1; 0.5; 100"
"xgbTree";0,541399669537638;0,0561905812788238;0,0037180709026421;0,00935409153821344;"0.3; 4; 0; 0.6; 1; 1; 100"
"xgbTree";0,528490584905955;0,0375427921072544;0,00104783039805963;0,00120089236328212;"0.3; 4; 0; 0.8; 1; 0.5; 100"
"xgbTree";0,536367211235533;0,0461593844912629;0,00337447610223293;0,00703524167306211;"0.3; 4; 0; 0.8; 1; 1; 100"
"xgbTree";0,526677646322035;0,0348743263608902;0,00337143636302421;0,0068353609195755;"0.3; 4; 0; 1; 1; 0.5; 100"
"xgbTree";0,539305486826465;0,0519183819563202;0,00503133212116114;0,0106188559333532;"0.3; 4; 0; 1; 1; 1; 100"
"xgbTree";0,528177901249808;0,0430371539396662;0,0038335094518881;0,00703553979929936;"0.3; 6; 0; 0.6; 1; 0.5; 100"
"xgbTree";0,53549211552771;0,0502583840457219;0,00357565962200644;0,00826176512723287;"0.3; 6; 0; 0.6; 1; 1; 100"
"xgbTree";0,524802420717697;0,037791383785296;0,00523001098136117;0,0116898237582366;"0.3; 6; 0; 0.8; 1; 0.5; 100"
"xgbTree";0,535710706274787;0,0522415240642661;0,00829786073380211;0,0170673257977269;"0.3; 6; 0; 0.8; 1; 1; 100"
"xgbTree";0,522208060219462;0,0313238696679963;0,00214780741817839;0,00464504019708398;"0.3; 6; 0; 1; 1; 0.5; 100"
"xgbTree";0,536617464258235;0,0554740409630317;0,0028867460259427;0,00562877934020732;"0.3; 6; 0; 1; 1; 1; 100"
