"method";"Accuracy";"Kappa";"AccuracySD";"KappaSD";"Parametry"
"knn";0,534919417272084;0,0656345084444483;0,00474464384850318;0,00969634058934382;"3"
"knn";0,529848245204768;0,0548918290328813;0,00484840859522915;0,0104277680255613;"5"
"knn";0,529660372409158;0,0532033711638957;0,00332736260902267;0,00648428959804686;"10"
"knn";0,53019253608831;0,0524429823644987;0,00355565739369245;0,00698517382989616;"20"
"knn";0,531037597676862;0,0526917968111814;0,00396645704595552;0,00865155675093385;"30"
"knn";0,525121328744685;0,0382205784764676;0,00119152355487245;0,00177060418487594;"50"
"knn";0,529316013912694;0,0438050627320807;0,00061298896749386;0,00192564041706385;"100"
"knn";0,525778705677936;0,0326288252129417;0,00126156868580299;0,00228416450006772;"200"
"rf";0,553795528455199;0,0855957699124166;0,00340300579310559;0,00493517800593266;"1"
"rf";0,556550187708761;0,10381424335509;0,00369123794269237;0,00782718139736647;"2"
"rf";0,558678927676443;0,108656627406648;0,00176703447473785;0,00421416925735725;"3"
"glm";0,526091653562106;0,0142647589662879;0,00669164885241501;0,014146769318253;"none"
"lda";0,526154260189156;0,0144018541336478;0,00665408128584058;0,0140589837056649;"none"
"qda";0,519236135299879;0,0110170053444557;0,00728046087858588;0,0210788089221471;"none"
"rpart";0,531726535146714;0,0439253661963297;0,00398367965467063;0,00446685922125119;"0.00056172349986783"
"rpart";0,531601318952923;0,0432371019814772;0,00390107460921645;0,0042107906612633;"0.000572737686139748"
"rpart";0,531757825231624;0,0436264646413452;0,00336155063233755;0,00422557116861337;"0.000611287338091462"
"rpart";0,531538691748027;0,0429904178404264;0,00329186888641393;0,00355736347266904;"0.000627808617499339"
"rpart";0,531538691748027;0,0429904178404264;0,00329186888641393;0,00355736347266904;"0.00063441712926249"
"rpart";0,530317814015639;0,0398010419153117;0,0022837646394724;0,00205931643257322;"0.000660851176315094"
"rpart";0,530630861849348;0,0404507856752546;0,00268344468978945;0,00177686265062879;"0.000674068199841396"
"rpart";0,532164787415445;0,0421874179733867;0,00376769065279805;0,00366495922104055;"0.000704907921402767"
"rpart";0,532446483430707;0,0428260131482517;0,00266072103557822;0,00308468052308339;"0.000726936293946603"
"rpart";0,531976885222912;0,0410776441844219;0,00204307801377479;0,00387951922880101;"0.000793021411578113"
"rpart";0,531976885222912;0,0410776441844219;0,00204307801377479;0,00387951922880101;"0.000826063970393867"
"rpart";0,53163256788214;0,0400354863414481;0,00275782916470501;0,00341798342492086;"0.000892149088025377"
"rpart";0,53163256788214;0,0400354863414481;0,00275782916470501;0,00341798342492086;"0.00091317617090813"
"rpart";0,53163256788214;0,0400354863414481;0,00275782916470501;0,00341798342492086;"0.000925191646841131"
"rpart";0,532321220201838;0,0416188365150128;0,00203175935222231;0,00449983151300859;"0.00101605868358446"
"rpart";0,530349133497472;0,0379970129606772;0,00322807913770215;0,00816382110857416;"0.00105736188210415"
"rpart";0,529472664236317;0,034977223894285;0,00400071445806157;0,00655381930056774;"0.0010904044409199"
"rpart";0,526999551073709;0,0242553219373162;0,00196308987625286;0,0214633290152502;"0.00165212794078773"
"rpart";0,526999551073709;0,0242553219373162;0,00196308987625286;0,0214633290152502;"0.00174024143096308"
"rpart";0,526655198456629;0,00866523382623934;0,000584018649423647;0,015008625246511;"0.0021147237642083"
"xgbTree";0,533448048358268;0,0471757483659301;0,00192991122978622;0,00335509637209062;"0.3; 2; 0; 0.6; 1; 0.5; 100"
"xgbTree";0,53592106451103;0,0483367355528819;0,00178217842697397;0,00240776230548394;"0.3; 2; 0; 0.6; 1; 1; 100"
"xgbTree";0,534167911391183;0,0511309757982411;0,00536708948712025;0,0110065050308377;"0.3; 2; 0; 0.8; 1; 0.5; 100"
"xgbTree";0,535514102327209;0,0480317668576511;0,0017387690346629;0,00338667787911646;"0.3; 2; 0; 0.8; 1; 1; 100"
"xgbTree";0,5339175936516;0,0498704407085955;0,0027269556945789;0,00613449578354566;"0.3; 2; 0; 1; 1; 0.5; 100"
"xgbTree";0,538644563026145;0,0547049185763414;0,00327689623243388;0,00589094679295947;"0.3; 2; 0; 1; 1; 1; 100"
"xgbTree";0,528783856112927;0,0471740748857134;0,00329616059619033;0,00599821155445226;"0.3; 4; 0; 0.6; 1; 0.5; 100"
"xgbTree";0,546720644473683;0,0791022855852197;0,0082510588326808;0,0161302627257784;"0.3; 4; 0; 0.6; 1; 1; 100"
"xgbTree";0,538644474835375;0,0675211738925982;0,00378145994502222;0,00823622555806563;"0.3; 4; 0; 0.8; 1; 0.5; 100"
"xgbTree";0,546219812035133;0,0784711749854955;0,00737176461184469;0,0144907638301937;"0.3; 4; 0; 0.8; 1; 1; 100"
"xgbTree";0,53695416057827;0,0644322195266879;0,00232521860378222;0,0045526288859196;"0.3; 4; 0; 1; 1; 0.5; 100"
"xgbTree";0,549444148868182;0,0854521302441777;0,00577154483278373;0,0123854517306262;"0.3; 4; 0; 1; 1; 1; 100"
"xgbTree";0,539896625014519;0,0725379303836155;0,00326889767472008;0,0077692874727547;"0.3; 6; 0; 0.6; 1; 0.5; 100"
"xgbTree";0,555611200011326;0,101416580017675;0,00198102323202855;0,0034847583670431;"0.3; 6; 0; 0.6; 1; 1; 100"
"xgbTree";0,543433968525585;0,0804871316944388;0,00800828126496071;0,0163103955875394;"0.3; 6; 0; 0.8; 1; 0.5; 100"
"xgbTree";0,551478918631598;0,0930382609072963;0,00530175214599179;0,0104065013184192;"0.3; 6; 0; 0.8; 1; 1; 100"
"xgbTree";0,54108613916969;0,0754383871151751;0,00285814202124274;0,00595827021012786;"0.3; 6; 0; 1; 1; 0.5; 100"
"xgbTree";0,549256487730418;0,0893850875965001;0,00280714181319869;0,00636396473707483;"0.3; 6; 0; 1; 1; 1; 100"
"treebag";0,549694610652688;0,0913677322081695;0,00490763763723903;0,0107705356724256;"none"
"adaboost";0,549412938154965;0,0932702274022952;0,00587583860699166;0,0122906716033324;"Real adaboost; 50"
